cohort_id,cohort_name,n_studies,n_papers,study_accessions,paper_ids,index_publication_pmid,countries,first_public_min,n_samples_total,unique_infants_est,unique_infants_outcome,body_sites,controlled_access,confidence,evidence,decision,cluster_id,paper_years,dropped_member_ids_not_in_dossier,unique_infants_est_prev,unique_infants_est_partial,unique_infants_est_source,included_study_accessions,n_included_studies
COH0001,CHILD,1,18,PRJNA838575,23401405|23607879|26069286|26424567|27634868|30247646|31921134|32220282|32779963|36603585|36830570|37644001|38326891|39393830|40187613|40623174|40912476|42337243,37644001,Canada,2022-12-07,2934,3542.0,predicted,stool,False,0.88,"{""name"": {""source"": ""paper.title"", ""quote"": ""the CHILD Cohort Study"", ""in_dossier"": true}, ""index"": {""source"": ""paper.abstract"", ""quote"": ""linked: PRJNA838575(own_data)"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""3624 pregnant women, most partners and 3542 eligible offspring"", ""in_dossier"": true}}",confirm,CC0001,2013|2015|2016|2018|2019|2020|2023|2024|2025|2026,,3542.0,,cohorts_v3:unresolved,PRJNA838575,1
COH0002,Stewart/Rose UK preterm infant cohort,2,14,PRJEB39610|PRJEB15257,24023682|28034304|28701177|30832576|33328245|34362295|PPR268123|PPR292270|39716092|PPR378487|PPR563270|39216480|28149696|39138199,39216480,United Kingdom,2016-09-23,659,318.0,predicted,stool|breast milk|intestinal tissue,False,0.5,"{""name"": null, ""index"": {""source"": ""study.title"", ""quote"": ""Longitudinal metagenomic analysis of the gut microbiome in preterm infants"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""From a cohort of 318 infants"", ""in_dossier"": true}}",confirm,CC0002,2013|2016|2017|2019|2021|2022|2024,,318.0,48.0,cohorts_v3:subject_resolution:1/2_members,PRJEB39610|PRJEB15257,2
COH0003,COPSAC2010,1,13,PRJNA715601,33338536|33887206|36642652|37037943|38135681|38730321|40108202|41673465|42372831|PPR618573|PPR627222|PPR835751|PPR854548,36642652,Denmark,2021-04-02,662,661.0,predicted,gut,False,0.8,"{""name"": {""source"": ""study.title"", ""quote"": ""COPSAC corhot study of infant gut microbiome"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""25 Years of translational research in the Copenhagen Prospective Studies"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""cohort of 662 Danish children"", ""in_dossier"": true}}",confirm,CC0003,2021|2023|2024|2025|2026,,662.0,,subject_resolution:all_members,PRJNA715601,1
COH0008,Robertson 2023 Zimbabwe,1,7,PRJEB51728,34139432|34393020|36788215|39341154|39352457|PPR303243|PPR484760,36788215,Zimbabwe,2023-02-14,875,852.0,sentinel_no_evidence,stool,False,0.72,"{""name"": null, ""index"": {""source"": ""study.title"", ""quote"": ""Infant stool metagenomic datasets"", ""in_dossier"": true}, ""infants"": null}",split,CC0005,2021|2022|2023|2024|2025,,,,subject_resolution:all_members,PRJEB51728,1
COH0009,Brown 2018 USA,2,2,PRJNA273761|PRJNA294605,29636439|PPR12047,29636439,USA,2015-06-05,71,67.0,predicted,stool,False,0.62,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Hospitalized Premature Infants Are Colonized by Related Bacterial Strains"", ""in_dossier"": true}, ""infants"": {""source"": ""study.title"", ""quote"": ""n_samples=60"", ""in_dossier"": true}}",split,CC0006,2017|2018,,60.0,,subject_resolution:all_members,PRJNA273761|PRJNA294605,2
COH0010,New Hampshire Birth Cohort Study,1,7,PRJNA296814,29973274|32968156|34215179|35568730|35847562|35906254|36777525,,USA,2019-03-07,1063,1063.0,sentinel_no_evidence,stool|saliva,False,0.85,"{""name"": {""source"": ""study.title"", ""quote"": ""New Hampshire Birth Cohort Study microbiome"", ""in_dossier"": true}, ""index"": null, ""infants"": null}",confirm,CC0007,2018|2020|2021|2022|2023,,,,subject_resolution:all_members,PRJNA296814,1
COH0011,Ta 2020 Singapore,1,1,PRJNA642723,33023370,33023370,Singapore,2021-01-17,162,162.0,sentinel_no_evidence,gut,False,0.75,"{""name"": null, ""index"": {""source"": ""paper.abstract"", ""quote"": ""In this longitudinal study, we used integrated multi-omics analyses"", ""in_dossier"": true}, ""infants"": null}",split,CC0008,2020,,,,subject_resolution:all_members,PRJNA642723,1
COH0015,MicrobeMom,1,5,PRJEB48251,37142190|37230981|37720155|40755225|PPR636988,37230981,Ireland,2025-02-21,205,205.0,predicted,infant_gut|breast_milk,False,0.88,"{""name"": {""source"": ""study.title"", ""quote"": ""MicrobeMom"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""Detailed mapping of Bifidobacterium strain transmission from mother to infant"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""cohort of 135 mother-infant (F = 72, M = 63) dyads"", ""in_dossier"": true}}",confirm,CC0010,2023|2025,,135.0,,subject_resolution:all_members,PRJEB48251,1
COH0016,RoVI,1,4,PRJEB62041,28360258|37980461|PPR233897|PPR637891,37980461,India|Malawi,2023-05-17,344,344.0,sentinel_no_evidence,gut,False,0.8,"{""name"": {""source"": ""study.title"", ""quote"": ""Rotavirus Vaccine Immunogenicity (RoVI) shotgun metagenomics"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""impaired rotavirus vaccine immunogenicity in infants from India and Malawi"", ""in_dossier"": true}, ""infants"": null}",split,CC0011,2017|2020|2023,,,,subject_resolution:all_members,PRJEB62041,1
COH0017,LucKi Gut Study,1,5,PRJEB89491,34444798|40518985|42057198|PPR1033249|PPR1097230,42057198,Netherlands,2025-05-19,929,139.0,predicted,gut,False,0.68,"{""name"": {""source"": ""study.title"", ""quote"": ""LucKi Gut - Longitudinal metagenomic sequencing of infant gut microbiota"", ""in_dossier"": true}, ""index"": {""source"": ""paper.abstract"", ""quote"": ""Using longitudinal data from 139 infants"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""longitudinal data from 139 infants"", ""in_dossier"": true}}",confirm,CC0012,2021|2025|2026,,139.0,,subject_resolution:all_members,PRJEB89491,1
