route,determined_by,scope,n_rows,conf_min,conf_median,conf_max,n_fields,fields,conf_values
R1,deterministic:date_arithmetic,sample,62,0.85,0.85,0.85,1,age_at_collection_days,0.85
R1,deterministic:subject_propagation,subject,1338,0.7999999999999999,0.85,0.85,6,birth_weight_grams;country;delivery_mode;gestational_age_weeks;maternal_antibiotics;sex,0.80;0.85
R1,deterministic_r1,sample,346338,0.5,0.9,0.9,15,age_at_collection_days;antibiotic_exposure;birth_weight_grams;country;delivery_mode;feeding_mode;gestational_age_weeks;hmo_supplementation;maternal_antibiotics;nec_status;preterm_status;probiotic_exposure;sex;subject_id;timepoint_label,0.50;0.60;0.70;0.80;0.85;0.90
R1,deterministic_r1+propagated_from_parent,biosample,521,0.9,0.9,0.9,1,country,0.90
R1,deterministic_r1|adjudicated_a,sample,2185,0.6,0.9,0.9,6,age_at_collection_days;antibiotic_exposure;country;delivery_mode;nec_status;sex,0.60;0.85;0.90
R1,haiku_norm,sample,6541,0.6,0.85,0.85,8,antibiotic_exposure;delivery_mode;feeding_mode;gestational_age_weeks;hmo_supplementation;maternal_antibiotics;preterm_status;probiotic_exposure,0.60;0.70;0.80;0.85
R1,haiku_norm|adjudicated_a,sample,335,0.6,0.85,0.85,2,feeding_mode;preterm_status,0.60;0.80;0.85
R1,r1_ext_deterministic,sample,4248,0.7,0.85,0.9,3,health_condition;multiple_birth;sibling_in_study,0.70;0.75;0.85;0.90
R1,r1_ext_family_id,sample,3835,0.7,0.7,0.8,1,sibling_in_study,0.70;0.80
R1,r1_ext_geo_parse+haiku_norm,sample,50273,0.7,0.9,0.9,1,geo_subregion,0.70;0.75;0.80;0.90
R1,r1_ext_geo_parse+haiku_norm+propagated_from_parent,biosample,177,0.9,0.9,0.9,1,geo_subregion,0.90
R1,r1_ext_haiku_norm,sample,3386,0.5,0.9,0.9,1,health_condition,0.50;0.60;0.70;0.80;0.90
R1,r1_title_parser,sample,20674,0.7,0.7,0.85,3,age_at_collection_days;subject_id;timepoint_label,0.70;0.80;0.85
R1,r1_unit_from_paper,sample,659,0.8,0.8,0.8,1,age_at_collection_days,0.80
R1,r1_unit_resolution,sample,2121,0.75,0.75,0.85,1,age_at_collection_days,0.75;0.85
R1,r1_unit_resolution_v2,sample,11412,0.7,0.9,0.9,1,age_at_collection_days,0.70;0.75;0.80;0.85;0.90
R2,deterministic:subject_propagation,subject,904,0.7,0.7,0.7999999999999999,7,birth_weight_grams;country;delivery_mode;gestational_age_weeks;maternal_antibiotics;preterm_status;sex,0.70;0.80
R2,deterministic_derivation_from_gestational_age,sample,132,0.75,0.75,0.75,1,preterm_status,0.75
R2,opus_adjudicated,sample,533,0.75,0.85,0.85,2,age_at_collection_days;country,0.75;0.85
R2,r2_ext_haiku_cols+det_norm,sample,8306,0.7,0.75,0.85,3,geo_subregion;health_condition;multiple_birth,0.70;0.75;0.80;0.85
R2,r2_ext_haiku_cols+det_norm,subject,450,0.75,0.75,0.75,1,geo_subregion,0.75
R2,r2_haiku_cols+det_norm,sample,94461,0.65,0.75,0.85,14,age_at_collection_days;antibiotic_exposure;birth_weight_grams;country;delivery_mode;feeding_mode;gestational_age_weeks;maternal_antibiotics;nec_status;preterm_status;probiotic_exposure;sex;subject_id;timepoint_label,0.65;0.75;0.85
R2,r2_haiku_cols+det_norm|adjudicated_a,sample,36,0.75,0.85,0.85,3,age_at_collection_days;antibiotic_exposure;preterm_status,0.75;0.85
R2,r2_regate_run_level+det_norm,sample,2802,0.7,0.75,0.75,13,age_at_collection_days;antibiotic_exposure;birth_weight_grams;delivery_mode;feeding_mode;gestational_age_weeks;health_condition;maternal_antibiotics;nec_status;preterm_status;sex;subject_id;timepoint_label,0.70;0.75
R2,r2_rescue_gate+r2_haiku_cols+det_norm,sample,1565,0.75,0.75,0.85,8,age_at_collection_days;antibiotic_exposure;delivery_mode;gestational_age_weeks;maternal_antibiotics;probiotic_exposure;sex;subject_id,0.75;0.85
R3,opus_adjudicated,sample,3,0.8,0.8,0.8,1,age_at_collection_days,0.80
R3,r3_multipaper_sonnet_group,group,4564,0.25,0.8,0.8,5,age_at_collection_days;antibiotic_exposure;country;delivery_mode;preterm_status,0.25;0.30;0.40;0.70;0.80
R3,r3_sonnet_group,group,28169,0.4,0.75,0.8,12,age_at_collection_days;antibiotic_exposure;birth_weight_grams;country;delivery_mode;feeding_mode;gestational_age_weeks;hmo_supplementation;maternal_antibiotics;nec_status;preterm_status;probiotic_exposure,0.40;0.50;0.55;0.60;0.65;0.70;0.75;0.80
R4,r4_haiku_abstract,group,22868,0.4,0.4,0.5,8,age_at_collection_days;antibiotic_exposure;country;delivery_mode;feeding_mode;gestational_age_weeks;maternal_antibiotics;preterm_status,0.40;0.45;0.50
