field,n_values_all_samples,n_values_infant_scope_bodysite,coverage_infant_scope_bodysite,n_values_age_scope_infant,coverage_age_scope_infant,n_values_catalog_scope,coverage_catalog_scope,n_values_adult_flagged,n_values_age_unknown
probiotic_exposure,8989,8308,0.0568,2753,0.0369,2666,0.0371,3534,2650
preterm_status,34194,33931,0.2319,32426,0.4341,32357,0.4507,882,0
gestational_age_weeks,13178,13014,0.0889,12300,0.1647,12256,0.1707,82,0
delivery_mode,30705,29497,0.2016,23473,0.3143,23066,0.3213,3306,2545
feeding_mode,13761,12051,0.0824,11842,0.1585,11312,0.1576,640,518
antibiotic_exposure,22718,21415,0.1463,13027,0.1744,12576,0.1752,4970,3918
age_at_collection_days,65441,62230,0.4253,53669,0.7185,52649,0.7333,9559,0
birth_weight_grams,10732,10594,0.0724,10486,0.1404,10436,0.1454,0,72
country,144010,136624,0.9336,71700,0.9599,68808,0.9584,9164,57257
maternal_antibiotics,8677,8488,0.058,8386,0.1123,8317,0.1158,13,57
hmo_supplementation,1256,1256,0.0086,1256,0.0168,1256,0.0175,0,0
nec_status,5338,5302,0.0362,5302,0.071,5302,0.0738,0,0
health_condition,10221,9810,0.067,6524,0.0873,6388,0.089,997,2700
multiple_birth,4838,4792,0.0327,4838,0.0648,4792,0.0667,0,0
sibling_in_study,4251,3924,0.0268,3599,0.0482,3272,0.0456,0,652
geo_subregion,51506,47180,0.3224,27953,0.3742,26536,0.3696,5693,15075
sex,65675,62283,0.4256,33029,0.4422,32400,0.4513,7862,22333
timepoint_label,38715,35568,0.2431,28075,0.3759,27102,0.3775,1355,7239
subject_id,84693,79337,0.5422,44885,0.6009,43034,0.5994,6872,30035
