study_accession,triage_verdict,outcome,confidence,reason_code,evidence,model,decision_stage,note,n_infant_samples_est,body_site_call,slot,validator_ok,validator_msg,study_title,n_samples,n_runs,first_public_min,sig_infant_hit,sig_infant_title,screen_haiku,linked_infant_paper,universe_slice,catalog_status,assessed_downstream,recov_age,recov_antibiotics,recov_delivery,recov_feeding,recov_preterm,recov_probiotic,cohort_id,cohort_name,cohort_crosswalk_names,n_biosample_infant_flagged,n_linked_papers,linked_pmids,median_gbp,median_read_len,paired_share,instrument_model_top,generation_top,timepoint_class,country_top,worklist_rank,expected_field_yield,effort_class,controlled_access,review_round
PRJNA525458,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""study.title"", ""quote"": ""Fecal transplant in children with Clostridioides difficile""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}, {""source"": ""sample.attr.age"", ""quote"": ""2""}]",claude-opus-5,opus_adjudication_biosample_rejudge,"re-judged with BioSample age attributes (7 infant-flagged samples, median 24.0 mo); prior exclude (age_child_over_36m) superseded",,,triage_verdict,True,,Fecal transplant in children with Clostridioides difficile,40,40,2020-03-28,False,True,,False,enumeration_v1,human_review,True,R0,R1,R0,R0,R0,R0,COH0441,singleton study PRJNA525458,,7,0,,1.281984829,146.92369338574485,1.0,Illumina HiSeq 3000,gen2,single_timepoint,,,,,,biosample_rejudge_uncertain
PRJNA865291,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""study.title"", ""quote"": ""gut metagenome in children consuming a fermented rice product""}, {""source"": ""sample.title"", ""quote"": ""D0209_T6""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: University of Naples Federico II deposit, 75 deep shotgun stool metagenomes from children before (T0) and after (T6) consuming a fermented rice product, paired by subject. Fermented-rice trials from this group have been run in children from roughly 1 to 5 y, but no age is given in the archive and no paper cites this accession, so in-window",,stool,triage_verdict,True,,gut metagenome in children consuming a fermented rice product,75,75,2023-10-29,False,False,unsure,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0506,singleton study PRJNA865291,,0,0,,8.8272108,150.0,1.0,Illumina NovaSeq 6000,gen3,longitudinal_2-4,Italy,369.0,0.5,abstract_only,False,round1_unresolvable
PRJNA757365,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""paper.fulltext.methods"", ""quote"": ""Mucosal samples from 20 children with confirmed untreated CeD""}, {""source"": ""study.description"", ""quote"": ""duodenal mucosa and stool of children with celiac disease""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: CosmosID/new-onset paediatric coeliac disease deposit (PMC8759644): 40 children with CeD and 39 controls, paired duodenal (D2) and stool (ST) shotgun libraries. Neither the paper nor the two reanalyses (PMC13339814, PMC12866134) state an age range; coeliac disease can present in the second year of life, so under-36-month subjects can be ne",,stool + duodenal mucosa,triage_verdict,True,,Metagenomic Microbiota in Celiac Disease,80,80,2021-12-24,False,False,yes,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0476,singleton study PRJNA757365,,0,0,,2.884821478,151.0,1.0,Illumina HiSeq 4000,gen2,single_timepoint,,368.0,0.5,abstract_only,False,round1_unresolvable
PRJNA1377943,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""paper.supp.table"", ""quote"": ""Age Mean 6.194, Median 6, Std. Deviation 3.157""}, {""source"": ""study.description"", ""quote"": ""shotgun metagenomic sequencing in stool samples of 429 children""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: CUHK multiplex-ASD family cohort (PMC13062010). Supplementary Data 1 gives group age means 6.2-7.8 y with SD up to 3.2 and no minimum; the healthy-sibling arm plausibly includes children under 3 y, but the authors state participant metadata cannot be released, so no per-sample age can be obtained.",,stool,triage_verdict,True,,Dissecting the gut microbiome in multiplex autism spectrum disorder families,380,380,2025-12-17,False,False,unsure,False,enumeration_v1,human_review,True,R3,R0,R0,R0,R0,R0,COH0380,singleton study PRJNA1377943,,0,0,,6.722536848,149.20561669970493,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,Hong Kong,265.0,1.5500000000000005,fulltext_only,False,round1_unresolvable
PRJEB41463,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""paper.fulltext.data_availability"", ""quote"": ""four ENA deposits; 11 patients <3 y""}, {""source"": ""paper.abstract"", ""quote"": ""pronounced changes occurring in the first three years of life""}, {""source"": ""run.library_strategy"", ""quote"": ""{\""AMPLICON\"": 15, \""WGS\"": 14}""}]",claude-opus-5,opus_adjudication_sibling_recheck,"re-check of sibling deposit of included PRJEB46214/PRJEB53954 (cohort paper PMC9363618, 11 patients <3 y across four deposits); prior verdict superseded",,,triage_verdict,True,,Examining the gut microbial community and genes in children with acute lymphoblastic leukemia that experience different levels of change in serum asparaginase activity during pegaspargase treatment,14,14,2020-12-01,False,True,,True,enumeration_v1,human_review,True,R3,R2,R3,R3,R3,R3,,,,0,3,35967843;36909730;37191543,0.3835091855,117.55681108225593,0.0,NextSeq 550,bench,single_timepoint,Canada,243.0,4.4,one_supp_table,False,sibling_recheck_uncertain
PRJNA1104804,uncertain,unsure_adjudicated,0.45,,"[{""source"": ""study.description"", ""quote"": ""alterations of gut microbiota in children with newly onset CD""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: Shanghai Jiao Tong newly-onset Crohn's disease children vs healthy children (CD1-18/H1-14), no ages, no paper. Paediatric CD onset is usually school-age but toddler-onset exists; also shallow single-end MiSeq 50-bp reads (3e8 b median) — assay quality marginal for shotgun profiling.",,stool,triage_verdict,True,,Gut microbiota profiles of CD children and healthy children,32,32,2025-06-03,False,False,unsure,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0341,singleton study PRJNA1104804,,0,0,,0.305769164,49.965798684537276,0.0,Illumina MiSeq,bench,single_timepoint,China: Shanghai,395.0,0.5,abstract_only,False,round1_unresolvable
PRJNA932130,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""study.description"", ""quote"": ""Gut microbiome of Children having Sepsis and Septic Shock""}, {""source"": ""sample.title"", ""quote"": ""SS15_R1""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: AIIMS New Delhi paediatric sepsis cohort, 40 deep shotgun stool metagenomes in three groups (S = sepsis, SS = septic shock, H = healthy children). Paediatric sepsis admissions in this setting are heavily weighted to infants, but no ages appear in the archive and no paper cites the accession.",,stool,triage_verdict,True,,Gut Microbiome of Children having Sepsis and Septic Shock,40,40,2024-09-08,False,False,yes,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0519,singleton study PRJNA932130,,0,0,,6.5974236,150.0,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,India: New Delhi,389.0,0.5,abstract_only,False,round1_unresolvable
PRJNA914532,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""paper.fulltext.cohort"", ""quote"": ""30 pediatric patients undergoing HSCT from May 2015 to March 2019""}, {""source"": ""study.description"", ""quote"": ""gut microbiome of pediatric patients undergoing hematopoietic stem cell transplantation""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: Bologna paediatric HSCT cohort (PMC9839701), 90 shotgun faecal metagenomes from 30 children sampled before transplant, at engraftment and before discharge. Paediatric transplant units treat infants, but the clinical characteristics table is a PDF supplement with no per-sample ages and the text gives no age range.",,stool,triage_verdict,True,,Levofloxacin prophylaxis and parenteral nutrition have a detrimental effect on intestinal microbial networks in pediatric patients undergoing HSCT,90,90,2022-12-22,False,False,unsure,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0516,singleton study PRJNA914532,,0,0,,2.3496333125,139.2689243818695,1.0,NextSeq 500,bench,longitudinal_5+,Italy,363.0,0.5,abstract_only,False,round1_unresolvable
PRJNA353874,uncertain,unsure_adjudicated,0.45,,"[{""source"": ""study.description"", ""quote"": ""human stool samples from children living in Malawi""}, {""source"": ""run.library_strategy"", ""quote"": ""OTHER""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: unresolved on two counts — WashU Malawi environmental-enteropathy children with no age range anywhere (sample IDs are ###A/###B subject-visit codes), and an ambiguous assay (47 OTHER/METAGENOMIC MiSeq runs at ~2.7e8 bases, 500 b/read) whose only citing paper (PMC5515247, statoviruses) reports RNA virus discovery, so these may be RNA librar",,stool,triage_verdict,True,,Homo sapiens Metagenome,47,47,2017-10-04,False,False,yes,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0412,singleton study PRJNA353874,,0,0,,0.2734805,500.0,0.0,Illumina MiSeq,bench,single_timepoint,Malawi,386.0,0.5,abstract_only,False,round1_unresolvable
PRJNA845014,uncertain,unsure_adjudicated,0.45,,"[{""source"": ""study.description"", ""quote"": ""gut microbiota between autistic children with and without atopic dermatitis""}, {""source"": ""paper.abstract"", ""quote"": ""enrolled 61 autistic children including 36 with AD""}]",claude-fable-5-1,session_model_review,"human-review pass (frame b83bd6c7 artifact): UNRESOLVABLE: Peking Union Medical College Hospital autism/atopic-dermatitis cohort (PMC9253573), 62 deep shotgun stool metagenomes in AD and non-AD arms. Neither the paper's available text nor the archive gives an age range; autism cohorts skew above 3 y but toddler diagnoses occur, and the supplementary demographic tables are .docx tables not keyed to",,stool,triage_verdict,True,,gut microbiota in autism Raw sequence reads,62,62,2023-07-02,False,False,unsure,False,enumeration_v1,human_review,True,R0,R0,R0,R0,R0,R0,COH0500,singleton study PRJNA845014,,0,0,,5.531020374000001,150.0,1.0,Illumina HiSeq 2500,gen1,single_timepoint,China:Beijing,375.0,0.5,abstract_only,False,round1_unresolvable
