run_accession,study_accession,sample_accession,catalog_sample_key,library_strategy,library_source,instrument_platform,base_count,organism,sp_miss_reason
SRR080729,PRJNA61745,SAMN00149531,SAMN00149531,AMPLICON,METAGENOMIC,LS454,154562,human gut metagenome,non_wgs_strategy
SRR080731,PRJNA61745,SAMN00149532,SAMN00149532,AMPLICON,METAGENOMIC,LS454,395986,human gut metagenome,non_wgs_strategy
SRR080732,PRJNA61745,SAMN00149532,SAMN00149532,AMPLICON,METAGENOMIC,LS454,155129,human gut metagenome,non_wgs_strategy
SRR080735,PRJNA61745,SAMN00149533,SAMN00149533,AMPLICON,METAGENOMIC,LS454,49409,human gut metagenome,non_wgs_strategy
SRR080741,PRJNA61745,SAMN00149536,SAMN00149536,AMPLICON,METAGENOMIC,LS454,55126,human gut metagenome,non_wgs_strategy
SRR080734,PRJNA61745,SAMN00149545,SAMN00149545,AMPLICON,METAGENOMIC,LS454,1392198,human gut metagenome,non_wgs_strategy
SRR080742,PRJNA61745,SAMN00149536,SAMN00149536,AMPLICON,METAGENOMIC,LS454,132818,human gut metagenome,non_wgs_strategy
SRR080737,PRJNA61745,SAMN00149534,SAMN00149534,AMPLICON,METAGENOMIC,LS454,55211,human gut metagenome,non_wgs_strategy
SRR080744,PRJNA61745,SAMN00149537,SAMN00149537,AMPLICON,METAGENOMIC,LS454,560610,human gut metagenome,non_wgs_strategy
SRR080740,PRJNA61745,SAMN00149535,SAMN00149535,AMPLICON,METAGENOMIC,LS454,163309,human gut metagenome,non_wgs_strategy
SRR080748,PRJNA61745,SAMN00149539,SAMN00149539,AMPLICON,METAGENOMIC,LS454,318440,human gut metagenome,non_wgs_strategy
SRR080745,PRJNA61745,SAMN00149538,SAMN00149538,AMPLICON,METAGENOMIC,LS454,48502,human gut metagenome,non_wgs_strategy
SRR080750,PRJNA61745,SAMN00149540,SAMN00149540,AMPLICON,METAGENOMIC,LS454,421049,human gut metagenome,non_wgs_strategy
SRR080749,PRJNA61745,SAMN00149540,SAMN00149540,AMPLICON,METAGENOMIC,LS454,61324,human gut metagenome,non_wgs_strategy
SRR080761,PRJNA61745,SAMN00149550,SAMN00149550,AMPLICON,METAGENOMIC,LS454,1049130,human gut metagenome,non_wgs_strategy
SRR080756,PRJNA61745,SAMN00149543,SAMN00149543,AMPLICON,METAGENOMIC,LS454,335438,human gut metagenome,non_wgs_strategy
SRR080758,PRJNA61745,SAMN00149547,SAMN00149547,AMPLICON,METAGENOMIC,LS454,800113,human gut metagenome,non_wgs_strategy
SRR080764,PRJNA61745,SAMN00149553,SAMN00149553,AMPLICON,METAGENOMIC,LS454,1060842,human gut metagenome,non_wgs_strategy
