sample_key,study_accession,body_site_class,age_scope,sample_title,n_runs,sci,libsrc
SAMD00252938,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 1,1,human gut metagenome,GENOMIC
SAMD00252939,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 2,1,human gut metagenome,GENOMIC
SAMD00252940,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 3,1,human gut metagenome,GENOMIC
SAMD00252941,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 4,1,human gut metagenome,GENOMIC
SAMD00252942,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 5,1,human gut metagenome,GENOMIC
SAMD00252943,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 6,1,human gut metagenome,GENOMIC
SAMD00252944,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 7,1,human gut metagenome,GENOMIC
SAMD00252945,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 8,1,human gut metagenome,GENOMIC
SAMD00252946,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 9,1,human gut metagenome,GENOMIC
SAMD00252947,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 10,1,human gut metagenome,GENOMIC
SAMD00252948,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 11,1,human gut metagenome,GENOMIC
SAMD00252949,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 12,1,human gut metagenome,GENOMIC
SAMD00252950,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 13,1,human gut metagenome,GENOMIC
SAMD00252951,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 14,1,human gut metagenome,GENOMIC
SAMD00252952,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 15,1,human gut metagenome,GENOMIC
SAMD00252953,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 16,1,human gut metagenome,GENOMIC
SAMD00252954,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 17,1,human gut metagenome,GENOMIC
SAMD00252955,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 18,1,human gut metagenome,GENOMIC
SAMD00252956,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 19,1,human gut metagenome,GENOMIC
SAMD00252957,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 20,1,human gut metagenome,GENOMIC
SAMD00252958,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 21,1,human gut metagenome,GENOMIC
SAMD00252959,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 22,1,human gut metagenome,GENOMIC
SAMD00252960,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 23,1,human gut metagenome,GENOMIC
SAMD00252961,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 24,1,human gut metagenome,GENOMIC
SAMD00252962,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 25,1,human gut metagenome,GENOMIC
SAMD00252963,PRJDB10675,primary,age_unknown_mixed_study,gut microbiomes isolated from feces of Indian patient 26,1,human gut metagenome,GENOMIC
