sample_key,study_accession,body_site_class,age_scope,sample_title,sci,libsrc
SAMN40204544,PRJNA1082298,primary,age_unknown_mixed_study,MIMAG Metagenome-assembled Genome sample from Enterobacter asburiae,Enterobacter asburiae,METAGENOMIC
SAMN40204545,PRJNA1082298,primary,age_unknown_mixed_study,MIMAG Metagenome-assembled Genome sample from Enterobacter asburiae,Enterobacter asburiae,METAGENOMIC
SAMN44293963,PRJNA799247,primary,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293964,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293965,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293966,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293967,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293968,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293969,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293970,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293971,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293972,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293973,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293974,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293975,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293976,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Clostridioides difficile,Clostridioides difficile,METAGENOMIC
SAMN44293977,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293978,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293979,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Clostridioides difficile,Clostridioides difficile,METAGENOMIC
SAMN44293980,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Clostridioides difficile,Clostridioides difficile,METAGENOMIC
SAMN44293981,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Clostridioides difficile,Clostridioides difficile,METAGENOMIC
SAMN44293982,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Clostridioides difficile,Clostridioides difficile,METAGENOMIC
SAMN44293983,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Clostridioides difficile,Clostridioides difficile,METAGENOMIC
SAMN44293984,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293985,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Clostridioides difficile,Clostridioides difficile,METAGENOMIC
SAMN44293986,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293987,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293988,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293989,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293990,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293991,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293992,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293993,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293994,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293995,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293996,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293997,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293998,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44293999,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44294000,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44294001,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Clostridioides difficile,Clostridioides difficile,METAGENOMIC
SAMN44294002,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Clostridioides difficile,Clostridioides difficile,METAGENOMIC
SAMN44294003,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Clostridioides difficile,Clostridioides difficile,METAGENOMIC
SAMN44294004,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Clostridioides difficile,Clostridioides difficile,METAGENOMIC
SAMN44294005,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44294006,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44294007,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44294008,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44294009,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44294010,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Clostridioides difficile,Clostridioides difficile,METAGENOMIC
SAMN44294011,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44294012,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
SAMN44294013,PRJNA799247,unknown,infant_evidenced,MIGS Cultured Bacterial/Archaeal sample from Staphylococcus epidermidis,Staphylococcus epidermidis,METAGENOMIC
