study,biosample,heuristic_class,n_runs,criterion_1,criterion_2,criterion_2_isolated,criterion_3,criterion_4,final_class,reason,c1_quote,c3_tokens,c3_basis,c4_evidence,c4_source,run_list
PRJEB21259,SAMEA10256212,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017671,ERR7017699,ERR7017727,ERR7017755,ERR7017783,ERR7017811,ERR7017839"
PRJEB21259,SAMEA10256213,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017672,ERR7017700,ERR7017728,ERR7017756,ERR7017784,ERR7017812,ERR7017840"
PRJEB21259,SAMEA10256214,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017673,ERR7017701,ERR7017729,ERR7017757,ERR7017785,ERR7017813,ERR7017841"
PRJEB21259,SAMEA10256215,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017674,ERR7017702,ERR7017730,ERR7017758,ERR7017786,ERR7017814,ERR7017842"
PRJEB21259,SAMEA10256216,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017675,ERR7017703,ERR7017731,ERR7017759,ERR7017787,ERR7017815,ERR7017843"
PRJEB21259,SAMEA10256217,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017676,ERR7017704,ERR7017732,ERR7017760,ERR7017788,ERR7017816,ERR7017844"
PRJEB21259,SAMEA10256218,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017677,ERR7017705,ERR7017733,ERR7017761,ERR7017789,ERR7017817,ERR7017845"
PRJEB21259,SAMEA10256219,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017678,ERR7017706,ERR7017734,ERR7017762,ERR7017790,ERR7017818,ERR7017846"
PRJEB21259,SAMEA10256220,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017680,ERR7017708,ERR7017736,ERR7017764,ERR7017792,ERR7017820,ERR7017848"
PRJEB21259,SAMEA10256221,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017679,ERR7017707,ERR7017735,ERR7017763,ERR7017791,ERR7017819,ERR7017847"
PRJEB21259,SAMEA10256222,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017681,ERR7017709,ERR7017737,ERR7017765,ERR7017793,ERR7017821,ERR7017849"
PRJEB21259,SAMEA10256223,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017682,ERR7017710,ERR7017738,ERR7017766,ERR7017794,ERR7017822,ERR7017850"
PRJEB21259,SAMEA10256224,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017683,ERR7017711,ERR7017739,ERR7017767,ERR7017795,ERR7017823,ERR7017851"
PRJEB21259,SAMEA10256225,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017685,ERR7017713,ERR7017741,ERR7017769,ERR7017797,ERR7017825,ERR7017853"
PRJEB21259,SAMEA10256226,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017684,ERR7017712,ERR7017740,ERR7017768,ERR7017796,ERR7017824,ERR7017852"
PRJEB21259,SAMEA10256227,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017686,ERR7017714,ERR7017742,ERR7017770,ERR7017798,ERR7017826,ERR7017854"
PRJEB21259,SAMEA10256228,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017687,ERR7017715,ERR7017743,ERR7017771,ERR7017799,ERR7017827,ERR7017855"
PRJEB21259,SAMEA10256229,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017690,ERR7017718,ERR7017746,ERR7017774,ERR7017802,ERR7017830,ERR7017858"
PRJEB21259,SAMEA10256230,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017689,ERR7017717,ERR7017745,ERR7017773,ERR7017801,ERR7017829,ERR7017857"
PRJEB21259,SAMEA10256231,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017688,ERR7017716,ERR7017744,ERR7017772,ERR7017800,ERR7017828,ERR7017856"
PRJEB21259,SAMEA10256232,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017691,ERR7017719,ERR7017747,ERR7017775,ERR7017803,ERR7017831,ERR7017859"
PRJEB21259,SAMEA10256233,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017694,ERR7017722,ERR7017750,ERR7017778,ERR7017806,ERR7017834,ERR7017862"
PRJEB21259,SAMEA10256234,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017693,ERR7017721,ERR7017749,ERR7017777,ERR7017805,ERR7017833,ERR7017861"
PRJEB21259,SAMEA10256235,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017692,ERR7017720,ERR7017748,ERR7017776,ERR7017804,ERR7017832,ERR7017860"
PRJEB21259,SAMEA10256236,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017695,ERR7017723,ERR7017751,ERR7017779,ERR7017807,ERR7017835,ERR7017863"
PRJEB21259,SAMEA10256237,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017696,ERR7017724,ERR7017752,ERR7017780,ERR7017808,ERR7017836,ERR7017864"
PRJEB21259,SAMEA10256238,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017697,ERR7017725,ERR7017753,ERR7017781,ERR7017809,ERR7017837,ERR7017865"
PRJEB21259,SAMEA104119884,C_technical_replicate_or_lane,7,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR7017670,ERR7017698,ERR7017726,ERR7017754,ERR7017782,ERR7017810,ERR7017838"
PRJEB11419,SAMEA104162391,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947602,ERR5947807,ERR5947983,ERR5948175"
PRJEB11419,SAMEA104162395,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947603,ERR5947808,ERR5947984,ERR5948176"
PRJEB11419,SAMEA104162417,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947608,ERR5947813,ERR5947989,ERR5948181"
PRJEB11419,SAMEA104162476,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947614,ERR5947819,ERR5947995,ERR5948187"
PRJEB11419,SAMEA104162505,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947618,ERR5947823,ERR5947999,ERR5948191"
PRJEB11419,SAMEA104162521,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947620,ERR5947825,ERR5948001,ERR5948193"
PRJEB11419,SAMEA104162549,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947621,ERR5947826,ERR5948002,ERR5948194"
PRJEB11419,SAMEA104162586,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947507,ERR5947712,ERR5947888,ERR5948080"
PRJEB11419,SAMEA104162659,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947523,ERR5947728,ERR5947904,ERR5948096"
PRJEB11419,SAMEA104162669,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947526,ERR5947731,ERR5947907,ERR5948099"
PRJEB11419,SAMEA104162674,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947527,ERR5947732,ERR5947908,ERR5948100"
PRJEB11419,SAMEA104162688,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947531,ERR5947736,ERR5947912,ERR5948104"
PRJEB11419,SAMEA104162690,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947532,ERR5947737,ERR5947913,ERR5948105"
PRJEB11419,SAMEA104162691,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947533,ERR5947738,ERR5947914,ERR5948106"
PRJEB11419,SAMEA104162694,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947535,ERR5947740,ERR5947916,ERR5948108"
PRJEB11419,SAMEA104162699,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947536,ERR5947741,ERR5947917,ERR5948109"
PRJEB11419,SAMEA104162700,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947537,ERR5947742,ERR5947918,ERR5948110"
PRJEB11419,SAMEA104162711,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947539,ERR5947744,ERR5947920,ERR5948112"
PRJEB11419,SAMEA104162933,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947598,ERR5947803,ERR5947979,ERR5948171"
PRJEB11419,SAMEA104162943,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947599,ERR5947804,ERR5947980,ERR5948172"
PRJEB11419,SAMEA104163027,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947601,ERR5947806,ERR5947982,ERR5948174"
PRJEB11419,SAMEA104163603,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947627,ERR5947832,ERR5948008,ERR5948200"
PRJEB11419,SAMEA104187306,C_technical_replicate_or_lane,3,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238613,ERR2239208,ERR2242029"
PRJEB11419,SAMEA104187307,C_technical_replicate_or_lane,3,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238614,ERR2239209,ERR2242030"
PRJEB11419,SAMEA104187309,C_technical_replicate_or_lane,3,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238615,ERR2239212,ERR2242031"
PRJEB11419,SAMEA104187310,C_technical_replicate_or_lane,3,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238616,ERR2242032,ERR2242464"
PRJEB11419,SAMEA104187311,C_technical_replicate_or_lane,3,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238617,ERR2242033,ERR2242465"
PRJEB11419,SAMEA104187312,C_technical_replicate_or_lane,2,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238618,ERR2242466"
PRJEB11419,SAMEA104187314,C_technical_replicate_or_lane,3,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238619,ERR2242034,ERR2242467"
PRJEB11419,SAMEA104187316,C_technical_replicate_or_lane,3,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238620,ERR2242035,ERR2242468"
PRJEB11419,SAMEA104187317,C_technical_replicate_or_lane,3,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238621,ERR2242036,ERR2242469"
PRJEB11419,SAMEA104187324,C_technical_replicate_or_lane,3,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238622,ERR2239286,ERR2242037"
PRJEB11419,SAMEA104187328,C_technical_replicate_or_lane,2,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238623,ERR2239298"
PRJEB11419,SAMEA104187330,C_technical_replicate_or_lane,3,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238624,ERR2239301,ERR2242038"
PRJEB11419,SAMEA104187335,C_technical_replicate_or_lane,4,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR5947540,ERR5947745,ERR5947921,ERR5948113"
PRJEB11419,SAMEA104187337,C_technical_replicate_or_lane,2,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238625,ERR2242470"
PRJEB11419,SAMEA104187339,C_technical_replicate_or_lane,2,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238626,ERR2242471"
PRJEB11419,SAMEA104187340,C_technical_replicate_or_lane,3,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238627,ERR2242039,ERR2242472"
PRJEB11419,SAMEA104187342,C_technical_replicate_or_lane,2,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238628,ERR2242473"
PRJEB11419,SAMEA104187343,C_technical_replicate_or_lane,3,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238629,ERR2239315,ERR2242040"
PRJEB11419,SAMEA104187349,C_technical_replicate_or_lane,3,False,False,False,False,False,C,class C kept (out of scope §7),,,no_distinct_libraries,,,"ERR2238630,ERR2239316,ERR2242041"
