run_accession,study_accession,sample_accession,catalog_sample_key,organism,library_source,library_strategy,sp_nonmeta_class,in_sandpiper,action_v1_2_1
SRR28166986,PRJNA1082298,SAMN40204545,SAMN40204545,Enterobacter asburiae,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002031,PRJNA799247,SAMN44294030,SAMN44294030,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002032,PRJNA799247,SAMN44294029,SAMN44294029,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002041,PRJNA799247,SAMN44294021,SAMN44294021,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002043,PRJNA799247,SAMN44294019,SAMN44294019,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002047,PRJNA799247,SAMN44294015,SAMN44294015,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002048,PRJNA799247,SAMN44294014,SAMN44294014,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002054,PRJNA799247,SAMN44294009,SAMN44294009,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002055,PRJNA799247,SAMN44294008,SAMN44294008,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002063,PRJNA799247,SAMN44294001,SAMN44294001,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002068,PRJNA799247,SAMN44293996,SAMN44293996,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002069,PRJNA799247,SAMN44293995,SAMN44293995,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002072,PRJNA799247,SAMN44293966,SAMN44293966,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002076,PRJNA799247,SAMN44293989,SAMN44293989,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002079,PRJNA799247,SAMN44293986,SAMN44293986,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002082,PRJNA799247,SAMN44293983,SAMN44293983,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002090,PRJNA799247,SAMN44293976,SAMN44293976,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002030,PRJNA799247,SAMN44293970,SAMN44293970,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002040,PRJNA799247,SAMN44294022,SAMN44294022,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002046,PRJNA799247,SAMN44294016,SAMN44294016,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002061,PRJNA799247,SAMN44293967,SAMN44293967,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002062,PRJNA799247,SAMN44294002,SAMN44294002,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002064,PRJNA799247,SAMN44294000,SAMN44294000,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002067,PRJNA799247,SAMN44293997,SAMN44293997,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002074,PRJNA799247,SAMN44293991,SAMN44293991,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002086,PRJNA799247,SAMN44293980,SAMN44293980,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002089,PRJNA799247,SAMN44293977,SAMN44293977,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002036,PRJNA799247,SAMN44294025,SAMN44294025,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002042,PRJNA799247,SAMN44294020,SAMN44294020,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002052,PRJNA799247,SAMN44294011,SAMN44294011,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002053,PRJNA799247,SAMN44294010,SAMN44294010,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002059,PRJNA799247,SAMN44294004,SAMN44294004,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002060,PRJNA799247,SAMN44294003,SAMN44294003,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002073,PRJNA799247,SAMN44293992,SAMN44293992,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002091,PRJNA799247,SAMN44293975,SAMN44293975,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002092,PRJNA799247,SAMN44293974,SAMN44293974,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002095,PRJNA799247,SAMN44293963,SAMN44293963,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002029,PRJNA799247,SAMN44293971,SAMN44293971,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002035,PRJNA799247,SAMN44294026,SAMN44294026,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002037,PRJNA799247,SAMN44294024,SAMN44294024,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002049,PRJNA799247,SAMN44294013,SAMN44294013,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002051,PRJNA799247,SAMN44294012,SAMN44294012,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002056,PRJNA799247,SAMN44294007,SAMN44294007,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002075,PRJNA799247,SAMN44293990,SAMN44293990,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002077,PRJNA799247,SAMN44293988,SAMN44293988,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002078,PRJNA799247,SAMN44293987,SAMN44293987,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002080,PRJNA799247,SAMN44293985,SAMN44293985,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002081,PRJNA799247,SAMN44293984,SAMN44293984,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002083,PRJNA799247,SAMN44293965,SAMN44293965,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002085,PRJNA799247,SAMN44293981,SAMN44293981,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002087,PRJNA799247,SAMN44293979,SAMN44293979,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002088,PRJNA799247,SAMN44293978,SAMN44293978,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002094,PRJNA799247,SAMN44293964,SAMN44293964,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR28166987,PRJNA1082298,SAMN40204544,SAMN40204544,Enterobacter asburiae,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002028,PRJNA799247,SAMN44293972,SAMN44293972,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002033,PRJNA799247,SAMN44294028,SAMN44294028,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002034,PRJNA799247,SAMN44294027,SAMN44294027,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002038,PRJNA799247,SAMN44294023,SAMN44294023,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002039,PRJNA799247,SAMN44293969,SAMN44293969,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002044,PRJNA799247,SAMN44294018,SAMN44294018,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002045,PRJNA799247,SAMN44294017,SAMN44294017,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002050,PRJNA799247,SAMN44293968,SAMN44293968,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002057,PRJNA799247,SAMN44294006,SAMN44294006,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002058,PRJNA799247,SAMN44294005,SAMN44294005,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002065,PRJNA799247,SAMN44293999,SAMN44293999,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002066,PRJNA799247,SAMN44293998,SAMN44293998,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002070,PRJNA799247,SAMN44293994,SAMN44293994,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002071,PRJNA799247,SAMN44293993,SAMN44293993,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
SRR31002084,PRJNA799247,SAMN44293982,SAMN44293982,Clostridioides difficile,METAGENOMIC,WGS,named_microbe_or_other,False,none (METAGENOMIC named microbe — owner review)
SRR31002093,PRJNA799247,SAMN44293973,SAMN44293973,Staphylococcus epidermidis,METAGENOMIC,WGS,named_microbe_or_other,True,none (METAGENOMIC named microbe — owner review)
ERR743892,PRJEB6921,SAMEA2689667,SAMEA2689667,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR743896,PRJEB6921,SAMEA2689671,SAMEA2689671,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR743905,PRJEB6921,SAMEA2689680,SAMEA2689680,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR743924,PRJEB6921,SAMEA2689788,SAMEA2689788,Bifidobacterium breve,GENOMIC,WGS,named_microbe_or_other,False,assay_isolate_genome
ERR905781,PRJEB6921,SAMEA3232173,SAMEA3232173,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR1514628,PRJEB6921,SAMEA3890332,SAMEA3890332,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR1514631,PRJEB6921,SAMEA3890335,SAMEA3890335,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR1514632,PRJEB6921,SAMEA3890336,SAMEA3890336,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR1514640,PRJEB6921,SAMEA3890344,SAMEA3890344,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR1514645,PRJEB6921,SAMEA3890349,SAMEA3890349,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR1514653,PRJEB6921,SAMEA3890357,SAMEA3890357,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR1514654,PRJEB6921,SAMEA3890358,SAMEA3890358,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR1514655,PRJEB6921,SAMEA3890359,SAMEA3890359,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR1514662,PRJEB6921,SAMEA3890366,SAMEA3890366,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR1514665,PRJEB6921,SAMEA3890369,SAMEA3890369,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR1514666,PRJEB6921,SAMEA3890370,SAMEA3890370,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR1514667,PRJEB6921,SAMEA3890371,SAMEA3890371,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR1514669,PRJEB6921,SAMEA3890373,SAMEA3890373,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR1899998,PRJEB6921,SAMEA4551726,SAMEA4551726,Bifidobacterium longum subsp. infantis,GENOMIC,WGS,named_microbe_or_other,False,assay_isolate_genome
ERR1900005,PRJEB6921,SAMEA4551733,SAMEA4551733,Bifidobacterium longum subsp. infantis,GENOMIC,WGS,named_microbe_or_other,False,assay_isolate_genome
ERR1900006,PRJEB6921,SAMEA4551734,SAMEA4551734,Bifidobacterium longum subsp. infantis,GENOMIC,WGS,named_microbe_or_other,False,assay_isolate_genome
ERR1900007,PRJEB6921,SAMEA4551735,SAMEA4551735,Bifidobacterium longum subsp. infantis,GENOMIC,WGS,named_microbe_or_other,False,assay_isolate_genome
ERR1900009,PRJEB6921,SAMEA4551737,SAMEA4551737,Bifidobacterium longum subsp. infantis,GENOMIC,WGS,named_microbe_or_other,False,assay_isolate_genome
ERR1900017,PRJEB6921,SAMEA4551745,SAMEA4551745,Bifidobacterium longum subsp. infantis,GENOMIC,WGS,named_microbe_or_other,False,assay_isolate_genome
ERR2436206,PRJEB6921,SAMEA91501168,SAMEA91501168,Bifidobacterium breve UCC2003,GENOMIC,WGS,named_microbe_or_other,False,assay_isolate_genome
ERR2436215,PRJEB6921,SAMEA97888918,SAMEA97888918,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR2436221,PRJEB6921,SAMEA97924918,SAMEA97924918,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR2436231,PRJEB6921,SAMEA97913668,SAMEA97913668,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR2436237,PRJEB6921,SAMEA97949668,SAMEA97949668,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR2436243,PRJEB6921,SAMEA97914418,SAMEA97914418,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR2436256,PRJEB6921,SAMEA97921168,SAMEA97921168,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR2436262,PRJEB6921,SAMEA97957168,SAMEA97957168,Gallus gallus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR2436273,PRJEB6921,SAMEA97951918,SAMEA97951918,Gallus gallus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
ERR2436278,PRJEB6921,SAMEA97910668,SAMEA97910668,Mus musculus,GENOMIC,WGS,named_nonhuman_host,False,host_nonhuman
