study_accession,n_runs,n_runs_profiled,frac_runs_profiled,n_samples,n_samples_profiled,n_samples_partial,frac_samples_profiled,miss_controlled_access_study,miss_ddbj_illumina_not_in_snapshot,miss_ena_illumina_not_in_snapshot,miss_non_illumina_platform,miss_non_wgs_strategy,miss_profiled,miss_published_after_snapshot_horizon,miss_small_run_lt_100Mbp,miss_sra_illumina_not_in_snapshot,coverage_class,study_title,sample_unit,first_public_min,controlled_access,n_infant_scope_samples,miss_unknown_size,n_catalog_scope,panel_scope
PRJDA72415,80,60,0.75,80,60,0,0.75,0,11,0,0,0,60,0,9,0,partial,Comprehensive Detection of Possible Pathogens Associated with Kawasaki Disease,biosample,2012-10-22,False,68,0,22,catalog_scope_adequate_depth
PRJDB10675,53,48,0.9057,53,48,0,0.9057,0,5,0,0,0,48,0,0,0,partial,"International collaborative studies on the prevention, diagnosis, and drug discovery for diarrheal infectious diseases in India",biosample,2023-06-05,False,53,0,0,fallback:no_catalog_scope_samples
PRJDB33192,51,46,0.902,51,46,0,0.902,0,0,0,0,0,46,0,5,0,partial,Infands gut virome (PRJCA031650),biosample,2025-09-28,False,51,0,0,fallback:no_catalog_scope_samples
PRJDB4525,36,34,0.9444,36,34,0,0.9444,0,2,0,0,0,34,0,0,0,partial,Shotgun metagenomics of fecal bacterial consortium inhabiting healthy Asian children,biosample,2021-12-03,False,36,0,0,fallback:no_catalog_scope_samples
PRJEB100868,744,0,0.0,744,0,0,0.0,0,0,0,0,0,0,744,0,0,none,PREVENT 1: Gut microbiota development and health in early life,biosample,2026-06-29,False,744,0,744,no_profiled_samples
PRJEB101714,370,0,0.0,100,0,0,0.0,0,0,0,370,0,0,0,0,0,none,strepB17,biosample,2026-03-12,False,100,0,0,no_profiled_samples
PRJEB101960,107,0,0.0,107,0,0,0.0,0,0,0,107,0,0,0,0,0,none,Gut microbiome of toddlers up to 36 months of age,biosample,2025-12-01,False,107,0,107,no_profiled_samples
PRJEB102170,71,0,0.0,71,0,0,0.0,0,0,0,71,0,0,0,0,0,none,Gut microbiome of toddlers up to 12 months of age,biosample,2025-12-01,False,71,0,0,no_profiled_samples
PRJEB102491,176,0,0.0,176,0,0,0.0,0,0,0,176,0,0,0,0,0,none,Shotgun sequencing of 91 infants from the ALADDIN birth cohort,biosample,2025-11-10,False,176,0,0,no_profiled_samples
PRJEB106892,1853,1811,0.9773,1851,1809,0,0.9773,0,0,17,0,0,1811,0,25,0,partial,Chain_Ncc_Metagenomes_Release,biosample,2026-01-28,False,1851,0,675,catalog_scope_adequate_depth
PRJEB108038,21,5,0.2381,16,5,5,0.3125,0,0,16,0,0,5,0,0,0,partial,Neonatal Jaundice and the Infant Gut Microbiome: An Integrated Shotgun Metagenomics and Bidirectional Mendelian Randomization Study in Xinjiang,biosample,2026-02-11,False,16,0,16,catalog_scope_adequate_depth
PRJEB108612,5328,4603,0.8639,5328,4603,0,0.8639,0,0,103,0,0,4603,0,622,0,partial,MOMmy-Microbiome_Epigenome_Neurodevelopment,biosample,2026-02-22,False,5328,0,0,fallback:no_catalog_scope_samples
PRJEB108678,572,519,0.9073,572,519,0,0.9073,0,0,47,0,0,519,0,6,0,partial,MPRINT: mother-infant dyads and antibiotic exposure,biosample,2026-02-24,False,295,0,284,catalog_scope_adequate_depth
PRJEB10914,1016,0,0.0,1016,0,0,0.0,0,0,0,0,0,0,0,1016,0,none,Developmental Ecology of the Human Microbiome - Restoration Study of babies.,biosample,2016-01-04,False,8,0,8,no_profiled_samples
PRJEB110410,156,0,0.0,156,0,0,0.0,0,0,0,0,0,0,156,0,0,none,The impact of dietary fibres on gut microbiome of young children: insights from ex vivo experiments and an observational cohort,biosample,2026-04-24,False,156,0,0,no_profiled_samples
