study_accession,n_samples_study,n_catalog_scope,n_profiled,n_profiled_catalog_scope,n_samples_panel,n_profiled_age_infant,n_profiled_age_adult,n_profiled_age_unknown_or_other,n_low_depth_excluded_from_panel,frac_samples_profiled,panel_scope
PRJDA72415,80,22,60,16,16,21,0,39,0,0.75,catalog_scope_adequate_depth
PRJDB10675,53,0,48,0,0,0,0,48,0,0.9057,fallback:no_catalog_scope_samples
PRJDB33192,51,0,46,0,0,0,0,46,0,0.902,fallback:no_catalog_scope_samples
PRJDB4525,36,0,34,0,0,0,0,34,0,0.9444,fallback:no_catalog_scope_samples
PRJEB100868,744,744,0,0,0,0,0,0,0,0.0,no_profiled_samples
PRJEB101714,100,0,0,0,0,0,0,0,0,0.0,no_profiled_samples
PRJEB101960,107,107,0,0,0,0,0,0,0,0.0,no_profiled_samples
PRJEB102170,71,0,0,0,0,0,0,0,0,0.0,no_profiled_samples
PRJEB102491,176,0,0,0,0,0,0,0,0,0.0,no_profiled_samples
PRJEB106892,1851,675,1809,664,664,664,0,1145,0,0.9773,catalog_scope_adequate_depth
PRJEB108038,16,16,5,5,5,5,0,0,0,0.3125,catalog_scope_adequate_depth
PRJEB108612,5328,0,4603,0,0,0,0,4603,0,0.8639,fallback:no_catalog_scope_samples
PRJEB108678,572,284,519,269,269,269,240,10,0,0.9073,catalog_scope_adequate_depth
PRJEB10914,1016,8,0,0,0,0,0,0,0,0.0,no_profiled_samples
PRJEB110410,156,0,0,0,0,0,0,0,0,0.0,no_profiled_samples
PRJEB110894,365,365,0,0,0,0,0,0,0,0.0,no_profiled_samples
PRJEB111647,1441,543,0,0,0,0,0,0,0,0.0,no_profiled_samples
PRJEB112735,932,611,0,0,0,0,0,0,0,0.0,no_profiled_samples
PRJEB11419,7024,78,888,0,0,0,234,654,0,0.1264,fallback:no_age_evidenced_profiled_samples
PRJEB12669,19,15,16,13,13,13,0,3,0,0.8421,catalog_scope_adequate_depth
PRJEB14801,655,20,0,0,0,0,0,0,0,0.0,no_profiled_samples
PRJEB14935,3,3,2,2,2,2,0,0,0,0.6667,catalog_scope_adequate_depth
PRJEB14941,1118,104,0,0,0,0,0,0,0,0.0,no_profiled_samples
PRJEB14969,37,37,0,0,0,0,0,0,0,0.0,no_profiled_samples
PRJEB15257,15,15,13,13,13,13,0,0,0,0.8667,catalog_scope_adequate_depth
PRJEB15633,85,85,0,0,0,0,0,0,0,0.0,no_profiled_samples
PRJEB21259,28,0,24,0,0,0,0,24,0,0.8571,fallback:no_catalog_scope_samples
