study_accession,n_runs,n_runs_profiled,frac_non_metagenome_strict,frac_non_metagenome_loose,frac_named_human_host,frac_named_nonhuman_host,frac_named_microbe,frac_synthetic,frac_rna_strict,frac_low_complexity_profiled,frac_low_depth_profiled,frac_predicted_ecological_profiled,frac_low_ksf_high_depth_profiled,median_spf,median_known_species_fraction,median_root_coverage,study_title,triage_verdict,reason_code,auditor_attention,auditor_reason
PRJDA72415,80,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.06666666666666667,78.045,83.59,220.36,Comprehensive Detection of Possible Pathogens Associated with Kawasaki Disease,include,,False,
PRJDB10675,53,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0625,0.020833333333333332,0.3333333333333333,37.480000000000004,54.879999999999995,52.155,"International collaborative studies on the prevention, diagnosis, and drug discovery for diarrheal infectious diseases in India",include,,False,
PRJDB33192,51,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.08695652173913043,0.0,0.06521739130434782,3.745,18.125,5.4399999999999995,Infands gut virome (PRJCA031650),include,,False,
PRJDB4525,36,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.41,89.575,2820.225,Shotgun metagenomics of fecal bacterial consortium inhabiting healthy Asian children,include,,False,
PRJEB100868,744,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,PREVENT 1: Gut microbiota development and health in early life,include,,False,
PRJEB101714,370,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,strepB17,include,,False,
PRJEB101960,107,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Gut microbiome of toddlers up to 36 months of age,include,,False,
PRJEB102170,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Gut microbiome of toddlers up to 12 months of age,include,,False,
PRJEB102491,176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Shotgun sequencing of 91 infants from the ALADDIN birth cohort,include,,False,
PRJEB106892,1853,1811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06184428492545555,0.0,0.007730535615681944,0.0447266703478741,98.45,86.73,1254.41,Chain_Ncc_Metagenomes_Release,include,,False,
PRJEB108038,21,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,97.69,97.83,2001.94,Neonatal Jaundice and the Infant Gut Microbiome: An Integrated Shotgun Metagenomics and Bidirectional Mendelian Randomization Study in Xinjiang,include,,False,
PRJEB108612,5328,4603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05518140343254399,0.0021724961981316533,0.0008689984792526613,0.00977623289159244,93.27,92.83,2000.59,MOMmy-Microbiome_Epigenome_Neurodevelopment,include,,False,
PRJEB108678,572,519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0674373795761079,0.0,0.0,0.0,83.61,87.94,744.23,MPRINT: mother-infant dyads and antibiotic exposure,include,,False,
PRJEB10914,1016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Developmental Ecology of the Human Microbiome - Restoration Study of babies.,include,,False,
PRJEB110410,156,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,The impact of dietary fibres on gut microbiome of young children: insights from ex vivo experiments and an observational cohort,include,,False,
PRJEB110894,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Preterm Neonatal Stool Metagenomes+,include,,False,
PRJEB111647,1441,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Restoration of Microbiota in Newborns,include,,False,
PRJEB112735,932,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Investigating infant gut microbial composition (1 month and 10 years),include,,False,
PRJEB11419,12541,1250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,89.875,83.83,553.19,American Gut Project,include,,False,
PRJEB12669,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.345,81.39,284.46000000000004,Gut microbiota of 10 pairs of Chinese infant twins,include,,False,
PRJEB14801,655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Puerto Rico and Plantanal,include,,False,
PRJEB14935,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,93.995,93.505,989.01,Term and preterm shotgun samples,include,,False,
PRJEB14941,1118,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,The microbiota at multiple body sites during pregnancy in a rural Tanzanian population and the effects of Moringa supplemented probiotic yogurt.,include,,False,
PRJEB14969,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Dairy and plant based food intakes are associated with altered faecal microbiota in 2 to 3 year old Australian children.,include,,False,
PRJEB15257,15,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.35,97.39,452.07,The antibiotic resistance potential of the preterm infant gut microbiome measured using shotgun metagenomics.,include,,False,
PRJEB15633,85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Growth and Morbidity of Gambian Infants are Influenced by Maternal Milk Oligosaccharides and Infant Gut Microbiota,include,,False,
PRJEB21259,196,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1503267973856209,0.0,0.0,0.0392156862745098,86.03,89.44,198.0,AMR_metagenomic_sequencing,include,,False,
PRJEB22032,42,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.935,90.17500000000001,907.785,Characterization_of_healthy_adult_and_infant_gut_microbiota_in_Vietnamese_People,include,,False,
PRJEB22207,19,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.965,89.97,1596.12,Gut microbiome diagnostics in pre-term babies,include,,False,
PRJEB23207,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.44,88.55,674.66,Metagenomic characterization of the human intestinal microbiota in faecal samples from STEC-infected patients,include,,False,
PRJEB24006,26,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,72.895,94.34,727.25,"Neonatal gut-microbiome-derived 12,13 DiHOME impedes tolerance and predicts childhood atopy and asthma",include,,False,
PRJEB24041,633,467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021413276231263384,0.0,0.0,0.0,87.47,79.84,352.72,Selective maternal seeding and environment shape the human gut microbiome,include,,False,
PRJEB24771,1392,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Legumes and Growth Data,include,,False,
PRJEB27325,402,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Probiotic supplementation restores normal microbiota composition and function in antibiotic-treated and in caesarean-born infants,include,,False,
PRJEB2778,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Mutualism between gut microbiota and the host as revealed in a comparative study of breast-fed versus formula-fed infants.,include,,False,
PRJEB28671,1690,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,A_novel_nano_iron_supplement__IHAT__to_safely_combact_iron_deficiency_and_anemia,include,,False,
PRJEB29052,184,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.005952380952380952,0.0,0.017857142857142856,74.44999999999999,92.33,222.91000000000003,The effect of probiotic supplementation on the gut microbiota and antibiotic resistome development in preterm infants,include,,False,
PRJEB32135,156,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02962962962962963,0.0,0.0,0.0,66.37,89.77,185.4,"The Canadian Healthy Infant Longitudinal Development (CHILD) study is a multicenter longitudinal, prospective, general population birth cohort study. This study used a nested case-controlled design to analyze the functional potential of the fecal microbiome in infants enrolled in the CHILD Study. We selected 3-month and 1-year stool samples from an atopy enriched subset of children from one enrollment center (Vancouver). DNA was extracted from stool samples and submitted for shotgun metagenome sequencing.",include,,False,
PRJEB32631,1679,1518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059947299077733864,0.0,0.002635046113306983,0.0032938076416337285,97.55000000000001,95.39500000000001,685.725,Early_life_microbiota_colonisation,include,,False,
PRJEB33013,61,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.81,87.455,2173.375,Human gut microbiome,include,,False,
PRJEB33847,252,174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14942528735632185,76.345,74.03999999999999,1015.3399999999999,Optimizing sequencing protocols for leaderboard metagenomics by combining long and short reads,include,,False,
PRJEB35919,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Bacteriophages enhance microbiota analysis.,include,,False,
PRJEB36405,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Study of the bacterial resistome in people and animals from Australia,include,,False,
PRJEB37883,753,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.0,0.0,0.0,98.63499999999999,99.41,1269.9,Hospital regimes including probiotics guide the individual development of the gut microbiome of very low birth weight infants in the first two weeks of life,include,,False,
PRJEB39610,644,588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1326530612244898,0.0,0.0017006802721088435,0.006802721088435374,90.57499999999999,96.005,877.63,Longitudinal metagenomic analysis of the gut microbiome in preterm infants diagnosed with necrotising enterocolitis and matched controls,include,,False,
PRJEB41102,807,722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013850415512465374,0.0,0.0,0.0,95.22,82.735,505.32000000000005,"Analysis of human fecal metagenomes from adults and infants, to investigate strain persistance, dispersal and purifying selection of bacterial strains.",include,,False,
PRJEB42045,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.62,97.69,1342.68,Study of infant stool samples in the first year of life.,include,,False,
PRJEB42363,181,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.315,77.555,618.5699999999999,"Impact of azithromycin mass drug administration on the antibiotic resistant gut microbiome: a randomized, controlled trial",include,,False,
PRJEB45356,950,865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011560693641618498,0.0,0.0,0.0,78.56,88.7,1461.41,Bioactive glycans in a microbiome-directed food for malnourished children,include,,False,
PRJEB45443,338,293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013651877133105802,0.0,0.0,0.0,59.98,92.04,651.78,Different development status of gut microbiome link to the dysbiosis of gut ecosystem in early childhood with atopic dermatitis,include,,False,
PRJEB45799,2394,2180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005504587155963303,0.0,0.00045871559633027525,0.014678899082568808,94.345,70.38,3460.535,The person-to-person transmission landscape of the gut and oral microbiomes,include,,False,
PRJEB46214,47,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,86.86,84.43,280.63,Gut bacterial gene changes following pegaspargase treatment in pediatric patients with Acute Lymphoblastic Leukemia,include,,False,
PRJEB46659,49,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,52.42,93.46000000000001,868.7950000000001,Heritable Vaginal Bacteria Relate to Allergic Sensitization,include,,False,
PRJEB46788,2750,2161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009254974548819991,0.0,0.0,0.16566404442387783,82.29,65.42,88.71,Codiversification of gut microbiota with humans,include,,False,
PRJEB46943,1310,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,54.015,84.095,199.64499999999998,Deep sequencing of faecal DNA viromes from 647 healthy Danish infants,include,,False,
PRJEB48251,205,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.005050505050505051,93.97,83.57,775.325,MicrobeMom,include,,False,
PRJEB49206,477,412,0.041928721174004195,0.041928721174004195,0.0,0.0,0.041928721174004195,0.0,0.0,0.0024271844660194173,0.0,0.0,0.0024271844660194173,85.025,82.565,5532.4349999999995,Extensive microbial novelty in the Hadza and Nepali gut microbiome reveals how lifestyle impacts composition and function,include,,False,
PRJEB49383,2352,2001,0.0,0.0008503401360544217,0.0,0.0,0.0,0.0,0.0,0.1744127936031984,0.0034982508745627187,0.005497251374312844,0.015992003998001,89.64,96.13,824.88,Preterm Neonatal Stool Metagenomes,include,,False,
PRJEB50568,119,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.625,81.07499999999999,389.32500000000005,Pediatric gut resistome,include,,False,
PRJEB51728,1750,1589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012586532410320957,0.0,0.0,0.00881057268722467,97.78,88.76,558.49,Infant stool metagenomic datasets,include,,False,
PRJEB52147,90,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,"The Association Between Milk Feedings in the Preterm Population, the Microbiome and Risk of Atopic Disease: Microbiome, Atopic Disease, and Prematurity (MAP Study)",include,,False,
PRJEB52295,43,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,91.375,94.88,1257.7,Precocious infant gut microbiome reprograms enterocytes and promotes childhood obesity risk,include,,False,
PRJEB52748,105,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16483516483516483,0.0,0.0,0.0,100.0,95.98,4135.72,Gut microbiome function and composition in infants from rural Kenya and association with human milk oligosaccharides,include,,False,
PRJEB52774,486,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.004651162790697674,92.88,90.98,1455.3600000000001,HELMi infant stool WGS metagenomes (3 weeks to 1 year) and parental stool WGS metagenomes,include,,False,
PRJEB52938,614,458,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13973799126637554,0.0,0.09606986899563319,0.20305676855895197,92.835,85.94,284.63,Longitudinal stool metagenomics from preterm infants within the first month after birth,include,,False,
PRJEB53954,67,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,84.88,82.815,214.935,Pediatric Leukemia and Lymphoma patient stool microbiome,include,,False,
PRJEB54707,80,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.84,93.35,836.45,"Infant stool, 2-HMO vs. control formula",include,,False,
PRJEB54991,162,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.0,0.0,0.0,97.78,95.66,2033.71,Shotgun metagenomics of infant formula study,include,,False,
PRJEB55713,55,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.95,92.63,2087.81,Child gut microbiome,include,,False,
PRJEB55714,393,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06705539358600583,0.0,0.0,0.0029154518950437317,90.65,93.21,388.62,Metagenomic analyses of the intestinal microbiome from neonates in the MIS BAIR trial,include,,False,
PRJEB57911,58,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.018518518518518517,98.08500000000001,93.60499999999999,2332.7,Infant metagemone data,include,,False,
PRJEB59728,22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.425,83.515,326.605,This study examined pediatric patients undergoing treatment for various cancers and examined the impact of antibiotic use and duration on antibiotic resistance genes,include,,False,
PRJEB62041,344,308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0.0,0.006493506493506494,66.15,93.215,704.325,Rotavirus Vaccine Immunogenicity (RoVI) shotgun metagenomics,include,,False,
PRJEB62690,1110,1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04747774480712166,0.0,0.0,0.0009891196834817012,99.11,94.81,1795.94,"Infant stool, 5-HMO supplemented formula vs. control formula vs. breastfed",include,,False,
PRJEB62848,181,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10909090909090909,0.0,0.0,0.006060606060606061,100.0,96.78,3015.34,"Infant stool, moderate and late preterm infants, probiotic and prebiotic",include,,False,
PRJEB63183,170,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039735099337748346,0.0,0.0,0.0,89.66,94.86,1494.95,Interactions Between Bifidobacterium and Bacteroides and Human Milk Oligosaccharides and Their Associations with Infant Cognition,include,,False,
PRJEB63351,288,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007905138339920948,0.0,0.0,0.0,88.46,87.24,1577.7,Neuroblastoma is associated with alterations in gut microbiome composition subsequent to maternal seeding,include,,False,
PRJEB63570,928,828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2826086956521739,0.0,0.012077294685990338,0.06280193236714976,99.935,97.0,1009.535,Klebsiella_transmission_and_immunity_on_Chatinkha_nursery__Neo_TRACK_,include,,False,
PRJEB6456,400,357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05322128851540616,0.0,0.0,0.008403361344537815,100.0,90.49,1075.72,Dynamics and Stabilization of the Human Gut Microbiome during the First Year of Life,include,,False,
PRJEB64567,45,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.315,85.18,678.12,Maternal FMT in Cesarean-Born Infants - WGS sequencing of infants (1w to 1year) and maternal fecal samples,include,,False,
PRJEB66728,60,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2909090909090909,0.0,0.0,0.01818181818181818,82.97,91.37,2832.92,"Priority effects, nutrition and HMO-metabolism drive Bifidobacterium longum subspecies dynamics in the infant gut microbiome",include,,False,
PRJEB6921,1067,151,0.7572633552014996,0.8425492033739457,0.4901593252108716,0.16119962511715089,0.10590440487347703,0.0,0.0,0.07947019867549669,0.0,0.0,0.152317880794702,87.65,84.61,402.6,Role_of_early_life_gut_microbiota_in_colonisation_resistance_development,include,,True,nonhuman_host_named
