study_accession,catalog_status,reason_code,n_authors,first_author,last_author,n_papers,n_linked_papers,n_bioproject_pubs,organisations,has_any_author,has_any_organisation,in_ncbi_bioproject
PRJNA525458,human_review,,0,,,0,0,0,George Washington University,False,True,True
PRJNA865291,human_review,,0,,,0,0,0,University of Naples Federico II,False,True,True
PRJNA757365,human_review,,0,,,0,0,0,CosmosID,False,True,True
PRJNA971252,excluded,site_excluded,22,Shen Z,Segre JA,1,1,0,"National Human Genome Research Institute, NIH",True,True,True
PRJNA416160,excluded,access_controlled,7,Tisza MJ,Petrosino JF,1,1,0,UNIVERSITY OF SOUTH FLORIDA,True,True,True
PRJNA658422,excluded,age_child_over_36m,17,Mancabelli L,Ventura M,1,1,0,The First Affiliated Hospital of Kunming Medical University,True,True,True
PRJNA1079705,excluded,age_child_over_36m,0,,,0,0,0,"University of Maryland, Baltimore",False,True,True
PRJNA926386,excluded,age_unknown_no_evidence,7,Zhai X,Deng L,1,0,1,University of Copenhagen,True,True,True
PRJNA862908,included,,0,,,0,0,0,Michigan State University,False,True,True
PRJNA1377943,human_review,,0,,,0,0,0,The Chinese University of Hong Kong,False,True,True
PRJNA788178,excluded,age_unknown_no_evidence,0,,,0,0,0,Jiangnan University,False,True,True
PRJNA1105631,included,,0,,,0,0,0,Helmholtz Zentrum Munich,False,True,True
PRJNA1037036,excluded,age_child_over_36m,0,,,0,0,0,The chinese university of Hong Kong; InnoHK,False,True,True
PRJNA765356,excluded,age_unknown_no_evidence,0,,,0,0,0,Penn State,False,True,True
PRJNA663717,excluded,age_adult_only,0,,,0,0,0,Maharshi Dayanand University,False,True,True
PRJNA1479139,excluded,age_unknown_no_evidence,0,,,0,0,0,shanghai university,False,True,True
PRJNA782810,included,,12,Alessandri G,Ventura M,1,1,0,University of Parma,True,True,True
PRJNA1045596,included,,0,,,0,0,0,University of Pennsylvania,False,True,True
PRJNA546034,excluded,age_child_over_36m,0,,,0,0,0,MEDICAL COLLEGE OF WISCONSIN,False,True,True
PRJNA637878,excluded,age_adult_only,44,Fontana F,Ventura M,3,3,0,Icahn School of Medicine at Mount Sinai,True,True,True
PRJEB45799,included,,48,Valles-Colomer M,Segata N,2,2,0,University of Trento,True,True,True
PRJNA1276427,excluded,assay_other_nonshotgun,0,,,0,0,0,Malawi- Liverpool Wellcome Programme,False,True,True
PRJNA801051,excluded,age_adult_only,0,,,0,0,0,National Institute for Communicable Disease Control and Prevention,False,True,True
PRJNA716780,included,,57,Valles-Colomer M,Segata N,4,4,1,UNITN,True,True,True
PRJNA715908,excluded,age_unknown_no_evidence,0,,,0,0,0,Indian Institute of Science Education and Research Bhopal,False,True,True
PRJNA1044231,excluded,age_unknown_no_evidence,0,,,0,0,0,Chengdu University,False,True,True
PRJNA1000750,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Arkansas for Medical Sciences,False,True,True
PRJNA283642,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Texas Southwestern Medical Center,False,True,True
PRJNA833139,included,,14,Tarracchini C,Ventura M,1,1,0,University of Parma,True,True,True
PRJNA439152,excluded,assay_amplicon_misfiled,0,,,0,0,0,Peking University People's Hospital,False,True,True
