study_accession,probiotic_exposure,preterm_status,gestational_age_weeks,delivery_mode,feeding_mode,antibiotic_exposure,age_at_collection_days,birth_weight_grams,country,maternal_antibiotics,hmo_supplementation,nec_status,health_condition,multiple_birth,sibling_in_study,geo_subregion
PRJDA72415,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJDB10675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJDB33192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7254901960784313
PRJDB4525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111112
PRJEB100868,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB101714,0.0,0.0,0.0,1.0,0.96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB101960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB102170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB102491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB106892,0.0,0.0,0.0,0.0,0.0,0.0,0.3646677471636953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB108038,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB108612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB108678,0.0,0.0,0.0,0.0,0.0,0.7237762237762237,0.4772727272727273,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PRJEB10914,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0
PRJEB110410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB110894,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB111647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB112735,0.0,0.0,0.0,0.0,0.0,0.0,0.6555793991416309,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB11419,0.7002324905550712,0.0,0.0,0.7784074396977623,0.0005812263876780006,0.970066841034583,0.011333914559721011,0.0,0.6685556524266202,0.0,0.0,0.0,0.0,0.0,0.0,0.574106364428945
PRJEB12669,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB14801,0.0,0.0,0.0,0.0,1.0,0.0,0.14814814814814814,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PRJEB14935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB14941,0.8859416445623343,0.0,0.0,0.0,0.0,0.029177718832891247,0.27851458885941643,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRJEB14969,0.0,1.0,1.0,0.8378378378378378,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB15257,0.0,0.0,0.7333333333333333,0.7333333333333333,1.0,0.5333333333333333,0.7333333333333333,0.0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0
PRJEB15633,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB21259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB22207,0.47058823529411764,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB23207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB24006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84
PRJEB24041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB24771,0.0,0.0,0.0,0.02514367816091954,0.0,0.0,1.0,0.01867816091954023,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PRJEB27325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB2778,0.0,1.0,0.0,1.0,0.8333333333333334,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB28671,0.0,0.0,0.0,0.0,0.0,1.0,0.367601246105919,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB29052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB32135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB32631,0.0,1.0,0.0,1.0,0.8076235854675402,0.798094103633115,0.9982132221560452,0.946396664681358,1.0,1.0,0.0,0.0,0.0,0.6688505062537224,0.0,0.0
PRJEB33013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB33847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
PRJEB35919,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB36405,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB37883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB39610,1.0,1.0,1.0,1.0,0.9720496894409938,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9720496894409938,0.0,0.0,0.0
PRJEB41102,1.0,1.0,0.0,0.0,0.0,1.0,0.0944055944055944,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB42045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB42363,0.0,0.0,0.0,0.0,0.9779005524861878,0.0,0.0,0.0,0.9779005524861878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB45356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB45443,0.0,0.0,0.0,0.1390532544378698,0.1390532544378698,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10650887573964497,0.0,0.0,0.0
PRJEB45799,0.0,0.0,0.0,0.0,0.0,0.0,0.0910609857978279,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB46214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB46659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB46788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7374545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.22036363636363637
PRJEB46943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB48251,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.48292682926829267,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB49206,0.0,0.0,0.0,0.0,0.0,0.0,0.2762557077625571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863
PRJEB49383,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB50568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB51728,0.0,0.6925714285714286,0.0,0.6925714285714286,0.0,0.6925714285714286,0.9817142857142858,0.6925714285714286,1.0,0.0,0.0,0.0,0.0,0.6925714285714286,0.0,0.0
PRJEB52147,0.0,1.0,1.0,1.0,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9444444444444444,0.3333333333333333,1.0
PRJEB52295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB52748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB52774,0.0,0.8490566037735849,0.0,0.6058700209643606,0.8490566037735849,0.0,0.6960167714884696,0.0,1.0,0.6058700209643606,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB52938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB53954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB54707,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.475,0.0,0.0,0.0,0.0,0.0
PRJEB54991,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB55713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB55714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB57911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB59728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB62041,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB62690,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRJEB62848,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB63351,0.0,0.0,0.0,0.5451388888888888,0.5451388888888888,0.9513888888888888,0.2986111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB63570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB6456,0.0,0.98,0.1725,0.98,0.71,0.735,0.9925,0.0,1.0,0.1725,0.0,0.1725,0.0,0.3425,0.0,0.0
PRJEB64567,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB66728,0.0,0.6,0.0,0.6,0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB6972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB70237,0.0,1.0,0.0,0.0,0.0,0.0,0.8393393393393394,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB74322,0.7612903225806451,1.0,1.0,1.0,1.0,0.7612903225806451,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
PRJEB74747,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB76913,0.0,0.0,0.37142857142857144,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB77202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB77729,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB79382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB79896,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB80456,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB82926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PRJEB83236,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
PRJEB83552,0.0,0.9755077658303465,0.9755077658303465,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8733572281959379,1.0
PRJEB84376,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB84944,0.0,0.0,0.0,0.0,0.0,0.0,0.5941499085923218,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB86954,0.0,0.0,0.0,0.0,0.0,0.0,0.45098039215686275,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB87209,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB89462,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB89491,0.0,0.0,0.0,0.0,0.0,0.0,0.8697524219590959,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8697524219590959,1.0
PRJEB9150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB9403,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJEB97976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRJEB9818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1019702,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1029046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1031773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1042647,0.0,0.0,0.0,0.0,0.7111111111111111,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1045584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PRJNA1045596,0.0,0.0,0.0,0.0,0.0,1.0,0.25229357798165136,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRJNA1046438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1049511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1051094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PRJNA1055141,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1056831,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1060349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1062322,0.5964912280701754,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
