study_accession,triage_verdict,outcome,confidence,reason_code,evidence,model,decision_stage,note,n_infant_samples_est,body_site_call,slot,validator_ok,validator_msg,study_title,n_samples,n_runs,first_public_min,sig_infant_hit,sig_infant_title,screen_haiku,linked_infant_paper,universe_slice,catalog_status,assessed_downstream,recov_age,recov_antibiotics,recov_delivery,recov_feeding,recov_preterm,recov_probiotic,cohort_id,cohort_name,cohort_crosswalk_names,n_biosample_infant_flagged,n_linked_papers,linked_pmids,median_gbp,median_read_len,paired_share,instrument_model_top,generation_top,timepoint_class,country_top,worklist_rank,expected_field_yield,effort_class,controlled_access,n_biosamples,sample_unit,cov_probiotic_exposure,cov_preterm_status,cov_gestational_age_weeks,cov_delivery_mode,cov_feeding_mode,cov_antibiotic_exposure,cov_age_at_collection_days,cov_birth_weight_grams,cov_country,cov_maternal_antibiotics,cov_hmo_supplementation,cov_nec_status,cov_health_condition,cov_multiple_birth,cov_sibling_in_study,cov_geo_subregion,n_unique_infants_est,max_timepoints,longitudinal,n_mothers,n_infant_scope_samples,ena_url,ncbi_url,n_age_scope_infant,n_adult_flagged,n_age_unknown_mixed_study,n_age_unknown_no_study_estimate,n_infant_evidenced,n_non_infant_role,n_study_all_infant,mixed_age_deposit,n_infant_role_samples,n_infant_samples_with_subject,n_unique_infants_source,n_unique_infants_upper,n_unique_infants_display,n_sample_rows,n_biosamples_shared_with_other_study,sp_n_samples_profiled,sp_frac_samples_profiled,sp_median_bifidobacterium_ra,sp_median_shannon_genus,sp_n_runs_profiled,sp_frac_runs_profiled,sp_coverage_class,sp_frac_runs_flagged,sp_frac_low_complexity_profiled,sp_frac_low_depth_profiled,sp_median_spf,sp_median_known_species_fraction,sp_auditor_attention,sp_auditor_reason,first_author,last_author,n_authors,n_author_papers,organisations,sp_median_scope,sp_n_samples_panel,sp_panel_scope,sp_coverage_note,n_catalog_scope,n_excluded_host_or_isolate,n_body_site_excluded,n_run_units,n_parent_biosamples,shared_biosample_note
PRJDA72415,include,included,0.8166666666666668,,"[{""source"": ""sample.title"", ""quote"": ""P5-6month_feces""}, {""source"": ""sample.title"", ""quote"": ""P8-4month_feces""}, {""source"": ""study.title"", ""quote"": ""Comprehensive Detection of Possible Pathogens Associated with Kawasaki Disease""}]",claude-sonnet-5,sonnet_replicates_n3_agree1.00,,,,triage_verdict,True,,Comprehensive Detection of Possible Pathogens Associated with Kawasaki Disease,80,80,2012-10-22,False,True,,False,enumeration_v1,included,True,R3,R0,R0,R0,R0,R0,COH0268,singleton study PRJDA72415,,0,0,,0.7433959225,121.02840308877168,0.0,Illumina Genome Analyzer II,other,single_timepoint,,284.0,1.5500000000000005,fulltext_only,False,80,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,True,0,68,https://www.ebi.ac.uk/ena/browser/view/PRJDA72415,https://www.ncbi.nlm.nih.gov/bioproject/PRJDA72415,30,0,0,50,30,0,0,False,24,24,subject_ids,8.0,8,80,0,60,0.75,0.11672550000000001,2.097479445451847,60,0.75,partial,0.0,0.0167,0.0,58.295,84.095,False,,,,0,0,National Institute of Infectious Diseases; NIID,catalog_scope_adequate_depth,16,catalog_scope_adequate_depth,,22,0,12,0,0,
PRJDB10675,include,included,0.75,,"[{""source"": ""paper.fulltext.results"", ""quote"": ""Since patient 12 (D1) is 2 years old""}, {""source"": ""sample.title"", ""quote"": ""gut microbiomes isolated from feces of Indian patient 12""}, {""source"": ""paper.fulltext.methods"", ""quote"": ""Metagenomic shotgun libraries were constructed from both the DNA samples""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=fulltext): Kolkata diarrhoea/cholera cohort: the paper states patient 12 is 2 years old and this deposit carries a sample titled for Indian patient 12, giving one per-sample in-scope age. Caveats: the full patient age list is in Supplementary Table S1 on a host outside this sandbox's allowlist, so the true in-scope count is probably higher; ENA tags librar",1.0,stool,triage_verdict,True,,"International collaborative studies on the prevention, diagnosis, and drug discovery for diarrheal infectious diseases in India",53,53,2023-06-05,False,False,,False,growth_ena_misfiled_library_source_genomic_2026-09-18,included,True,R2,R3,R0,R0,R0,R0,COH2333,singleton study PRJDB10675,,0,1,36376441,0.583337014,101.0,0.0,Illumina HiSeq 2500,gen1,single_timepoint,India,236.0,3.1000000000000005,one_supp_table,False,53,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,53,https://www.ebi.ac.uk/ena/browser/view/PRJDB10675,https://www.ncbi.nlm.nih.gov/bioproject/PRJDB10675,0,0,53,0,0,0,0,True,0,0,no_infant_role_samples,,unknown (no infant-role samples),53,0,48,0.9057,,,48,0.9057,partial,0.0,0.3333,0.0625,,,False,,Takahashi E,Okamoto K,10,1,Genome Information Research Center; GIRC,fallback:no_catalog_scope_samples,0,fallback:no_catalog_scope_samples,,0,0,0,0,0,
PRJDB33192,include,included,0.7333333333333334,,"[{""source"": ""study.title"", ""quote"": ""Infands gut virome""}, {""source"": ""study.description"", ""quote"": ""Infands gut virome relation with different feeding patterns""}, {""source"": ""sample.attr.environmental_medium"", ""quote"": ""fecal material""}]",claude-sonnet-5,sonnet_replicates_n3_agree1.00,,,,triage_verdict,True,,Infands gut virome (PRJCA031650),51,51,2025-09-28,False,False,yes,False,enumeration_v1,included,True,R0,R0,R0,R0,R0,R0,COH0270,singleton study PRJDB33192,,0,0,,0.396452768,98.36530315258618,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,missing: data agreement established pre-2023,382.0,0.5,abstract_only,False,51,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7254901960784313,,,False,0,51,https://www.ebi.ac.uk/ena/browser/view/PRJDB33192,https://www.ncbi.nlm.nih.gov/bioproject/PRJDB33192,0,0,0,51,0,0,0,False,0,0,no_infant_role_samples,,unknown (no infant-role samples),51,0,46,0.902,,,46,0.902,partial,0.0,0.1739,0.087,,,False,,,,0,0,Affiliated Hospital of Jiangsu University,fallback:no_catalog_scope_samples,0,fallback:no_catalog_scope_samples,,0,0,0,0,0,
PRJDB4525,include,included,0.7,,"[{""source"": ""paper.supp.table"", ""quote"": ""Age group 6 months-1 yr""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",deterministic,supp_rescue_deterministic,rescued: 1 study-matched sample rows with age<=3y in 41522_2025_868_MOESM2_ESM.xlsx[Data S1!Age group] (paper 41350579); prior outcome unsure_adjudicated/None; opus_rescue=uncertain,1.0,,triage_verdict,True,,Shotgun metagenomics of fecal bacterial consortium inhabiting healthy Asian children,36,36,2021-12-03,False,True,,True,enumeration_v1,included,True,R2,R3,R2,R2,R3,R3,COH0272,singleton study PRJDB4525,,0,1,41350579,11.9522184,150.0,1.0,Illumina HiSeq 2500,gen1,longitudinal_5+,Japan:Fukuoka,130.0,6.8,one_supp_table,False,36,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,,,False,0,36,https://www.ebi.ac.uk/ena/browser/view/PRJDB4525,https://www.ncbi.nlm.nih.gov/bioproject/PRJDB4525,0,0,36,0,0,0,0,True,0,0,no_infant_role_samples,,unknown (no infant-role samples),36,0,34,0.9444,,,34,0.9444,partial,0.0,0.0,0.0,,,False,,Tarracchini C,Ventura M,14,1,Tokyo Institute of Technology; KYUSHU,fallback:no_catalog_scope_samples,0,fallback:no_catalog_scope_samples,,0,0,0,0,0,
PRJEB100868,include,included,0.95,,"[{""source"": ""study.description"", ""quote"": ""children between 0 and 12 months of age""}, {""source"": ""sample.title"", ""quote"": ""Infant stool sample""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-sonnet-5,sonnet_replicates_n2_agree1.00,gap_fill: study absent from original universe (taxid_2705415_human_feces_metagenome_not_in_frame),,,triage_verdict,True,,PREVENT 1: Gut microbiota development and health in early life,744,744,2026-06-29,True,True,,False,gap_fill_2026-09-18,included,True,R3,R3,R3,R3,R3,R3,COH2303,singleton study PRJEB100868,COPSAC;Copenhagen Prospective Studies on Asthma in Childhood 2000;Copenhagen Prospective Studies on Asthma in Childhood 2010;HELMI;HELMi;Health and Early Microbiota (HELMi);PREVENT,744,1,42644416,9.517100707,75.5,1.0,Illumina NovaSeq X,gen3,single_timepoint,Sweden,107.0,4.0,fulltext_only,False,744,biosample,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,False,0,744,https://www.ebi.ac.uk/ena/browser/view/PRJEB100868,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB100868,744,0,0,0,744,0,0,False,744,0,no_subject_evidence,744.0,"unknown (≤ 744, no subject evidence)",744,0,0,0.0,,,0,0.0,none,0.0,,,,,False,,Cavani E,de Vos WM,7,1,Alba Health AB,no_profiled_samples,0,no_profiled_samples,,744,0,0,0,0,
PRJEB101714,include,included,0.75,,"[{""source"": ""study.description"", ""quote"": ""neonatal gut colonization by Group B Streptococcus""}, {""source"": ""sample.title"", ""quote"": ""human gut metagenome""}]",claude-sonnet-5,sonnet_replicates_n3_agree1.00,,,,triage_verdict,True,,strepB17,100,370,2026-03-12,False,False,yes,False,enumeration_v1,included,True,R0,R0,R0,R0,R0,R0,COH0274,singleton study PRJEB101714,,0,0,,0.7205202534999999,142.52148094670753,0.0,Ion Torrent Proton,other,longitudinal_2-4,France,358.0,0.5,abstract_only,False,100,biosample,0.0,0.0,0.0,1.0,0.96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,100,https://www.ebi.ac.uk/ena/browser/view/PRJEB101714,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB101714,0,0,0,100,0,0,0,False,0,0,no_infant_role_samples,,unknown (no infant-role samples),100,0,0,0.0,,,0,0.0,none,0.0,,,,,False,,,,0,0,Institut National pour la Recherche Agronomique (FRANCE),no_profiled_samples,0,no_profiled_samples,,0,0,0,0,0,
PRJEB101960,include,included,0.9400000000000001,,"[{""source"": ""study.title"", ""quote"": ""Gut microbiome of toddlers up to 36 months""}, {""source"": ""study.description"", ""quote"": ""0-6, 6-12, and 12-36 months""}]",claude-sonnet-5,sonnet_replicates_n3_agree1.00,,107.0,,triage_verdict,True,,Gut microbiome of toddlers up to 36 months of age,107,107,2025-12-01,True,False,,False,enumeration_v1,included,True,R0,R0,R0,R0,R0,R0,COH0275,singleton study PRJEB101960,,0,0,,6.2315292,75.0,1.0,DNBSEQ-G400,mgi,single_timepoint,Latvia,357.0,0.5,abstract_only,False,107,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,False,0,107,https://www.ebi.ac.uk/ena/browser/view/PRJEB101960,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB101960,107,0,0,0,0,0,107,False,107,0,no_subject_evidence,107.0,"unknown (≤ 107, no subject evidence)",107,0,0,0.0,,,0,0.0,none,0.0,,,,,False,,,,0,0,Latvian Biomedical Research and Study Centre,no_profiled_samples,0,no_profiled_samples,,107,0,0,0,0,
PRJEB102170,include,included,0.7666666666666666,,"[{""source"": ""study.title"", ""quote"": ""Gut microbiome of toddlers up to 12 months of age""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-sonnet-5,sonnet_replicates_n3_agree1.00,,,,triage_verdict,True,,Gut microbiome of toddlers up to 12 months of age,71,71,2025-12-01,True,False,,False,enumeration_v1,included,True,R0,R0,R0,R0,R0,R0,COH0276,singleton study PRJEB102170,,0,0,,6.0614499,75.0,1.0,DNBSEQ-G400,mgi,single_timepoint,Latvia,371.0,0.5,abstract_only,False,71,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,71,https://www.ebi.ac.uk/ena/browser/view/PRJEB102170,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB102170,0,0,0,71,0,0,0,False,0,0,no_infant_role_samples,,unknown (no infant-role samples),71,0,0,0.0,,,0,0.0,none,0.0,,,,,False,,,,0,0,Latvian Biomedical Research and Study Centre,no_profiled_samples,0,no_profiled_samples,,0,0,0,0,0,
PRJEB102491,include,included,0.9166666666666666,,"[{""source"": ""study.title"", ""quote"": ""Shotgun sequencing of 91 infants from the ALADDIN birth cohort""}, {""source"": ""study.description"", ""quote"": ""faecal samples from infants were shot-gun sequenced""}, {""source"": ""sample.attr.environmental_medium"", ""quote"": ""feces""}]",claude-sonnet-5,sonnet_replicates_n3_agree1.00,,,infant feces/gut,triage_verdict,True,,Shotgun sequencing of 91 infants from the ALADDIN birth cohort,176,176,2025-11-10,True,False,yes,False,enumeration_v1,included,True,R0,R0,R0,R0,R0,R0,COH0277,singleton study PRJEB102491,ALADDIN,0,0,,3.1071985345,47.41824000943997,1.0,MGISEQ-2000RS,mgi,single_timepoint,Sweden,342.0,0.5,abstract_only,False,176,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,176,https://www.ebi.ac.uk/ena/browser/view/PRJEB102491,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB102491,0,0,0,176,0,0,0,False,0,0,no_infant_role_samples,,unknown (no infant-role samples),176,0,0,0.0,,,0,0.0,none,0.0,,,,,False,,,,0,0,Technical University of Denmark,no_profiled_samples,0,no_profiled_samples,,0,0,0,0,0,
PRJEB106892,include,included,0.9,,"[{""source"": ""study.description"", ""quote"": ""children aged 2\u201324 months""}, {""source"": ""study.description"", ""quote"": ""breastfed infants to weaned toddlers""}]",claude-sonnet-5,sonnet_replicates_n2_agree1.00,universe_growth channel=reenum_delta,,,triage_verdict,True,,Chain_Ncc_Metagenomes_Release,1851,1853,2026-01-28,False,False,,False,growth_reenum_delta_2026-09-18,included,True,R3,R3,R0,R0,R3,R0,COH2323,singleton study PRJEB106892,ABC;CHAIN,0,1,41974697,4.351264622,75.5,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,,193.0,2.4250000000000003,fulltext_only,False,1851,biosample,0.0,0.0,0.0,0.0,0.0,0.0,0.3646677471636953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,1851,https://www.ebi.ac.uk/ena/browser/view/PRJEB106892,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB106892,675,0,0,1176,675,0,0,False,0,0,no_infant_role_samples,,unknown (no infant-role samples),1851,0,1809,0.9773,0.081797,1.5927897726281883,1811,0.9773,partial,0.0,0.0619,0.0,97.925,86.22,False,,Espinosa CA,Childhood Acute Illness and Nutrition (CHAIN) Network,51,1,Wellcome Sanger Institute,catalog_scope_adequate_depth,664,catalog_scope_adequate_depth,,675,0,0,0,0,
