study_accession,paper_id,pmid,pmcid,doi,title
PRJEB2778,22546241,22546241.0,PMC3446306,10.1186/gb-2012-13-4-r32,A metagenomic study of diet-dependent interaction between gut microbiota and host in infants reveals differences in immune response.
PRJNA215106,24236055,24236055.0,PMC3827270,10.1371/journal.pone.0078822,Pediatric fecal microbiota harbor diverse and novel antibiotic resistance genes.
PRJNA215102,24451181,24451181.0,PMC4177395,10.1186/2049-2618-1-30,Genome resolved analysis of a premature infant gut microbial community reveals a Varibaculum cambriense genome and a shift towards fermentation-based metabolism during the third week of life.
PRJNA221723,24468033,24468033.0,PMC4392516,10.1186/2049-2618-2-1,Microbes in the neonatal intensive care unit resemble those found in the gut of premature infants.
PRJNA63661,25332767,25332767.0,PMC4203463,10.1186/2049-2618-2-36,Intestinal microbiota of preterm infants differ over time and between hospitals.
PRJNA63661,26110908,26110908.0,PMC4482142,10.1371/journal.pone.0130604,Center Variation in Intestinal Microbiota Prior to Late-Onset Sepsis in Preterm Infants.
PRJEB2778,26399409,26399409.0,PMC4581423,10.1186/s40168-015-0104-7,The role of breast-feeding in infant immune system: a systems perspective on the intestinal microbiome.
PRJNA312041,27226242,27226242.0,PMC4880902,10.1038/srep26648,Effect of short-term room temperature storage on the microbial community in infant fecal samples.
PRJEB14969,27694811,27694811.0,PMC5046176,10.1038/srep32385,Dairy and plant based food intakes are associated with altered faecal microbiota in 2 to 3 year old Australian children.
PRJNA268964,27803195,27803195.0,PMC5088602,10.1101/gr.201863.115,An integrated metagenomics pipeline for strain profiling reveals novel patterns of bacterial transmission and biogeography.
PRJNA327106,28073918,28073918.0,PMC5378178,10.1101/gr.213256.116,"Identical bacterial populations colonize premature infant gut, skin, and oral microbiomes and exhibit different in situ growth rates."
PRJEB15633,28079170,28079170.0,PMC5227965,10.1038/srep40466,Growth and Morbidity of Gambian Infants are Influenced by Maternal Milk Oligosaccharides and Infant Gut Microbiota.
PRJNA339914,28144631,28144631.0,PMC5264247,10.1128/msystems.00164-16,Studying Vertical Microbiome Transmission from Mothers to Infants by Strain-Level Metagenomic Profiling.
PRJNA46337,28274256,28274256.0,PMC5343300,10.1186/s40168-017-0248-8,Intestinal dysbiosis in preterm infants preceding necrotizing enterocolitis: a systematic review and meta-analysis.
PRJNA380031,28651630,28651630.0,PMC5485682,10.1186/s40168-017-0282-6,Maternal inheritance of bifidobacterial communities and bifidophages in infants through vertical transmission.
PRJNA272371,29049378,29049378.0,PMC5648123,10.1371/journal.pone.0184955,Immune-modulatory genomic properties differentiate gut microbiota of infants with and without eczema.
PRJEB14935,29096601,29096601.0,PMC5668952,10.1186/s12864-017-4229-x,Optimisation of 16S rRNA gut microbiota profiling of extremely low birth weight infants.
PRJNA273761,29180750,29180750.0,PMC5703836,10.1038/s41467-017-02018-w,Strain-resolved analysis of hospital rooms and infants reveals overlap between the human and room microbiome.
PRJNA294605,29180750,29180750.0,PMC5703836,10.1038/s41467-017-02018-w,Strain-resolved analysis of hospital rooms and infants reveals overlap between the human and room microbiome.
PRJNA376566,29180750,29180750.0,PMC5703836,10.1038/s41467-017-02018-w,Strain-resolved analysis of hospital rooms and infants reveals overlap between the human and room microbiome.
PRJNA390646,29242832,29242832.0,PMC5717325,10.1128/msphere.00501-17,Persistence of Supplemented <i>Bifidobacterium longum</i> subsp. <i>infantis</i> EVC001 in Breastfed Infants.
PRJNA396794,29359195,29359195.0,PMC5758725,10.1128/msystems.00123-17,Machine Learning Leveraging Genomes from Metagenomes Identifies Influential Antibiotic Resistance Genes in the Infant Gut Microbiome.
PRJEB24041,29496731,29496731.0,PMC5880245,10.1101/gr.233940.117,Selective maternal seeding and environment shape the human gut microbiome.
PRJNA273761,29636439,29636439.0,PMC5893878,10.1128/mbio.00441-18,Hospitalized Premature Infants Are Colonized by Related Bacterial Strains with Distinct Proteomic Profiles.
PRJNA294605,29636439,29636439.0,PMC5893878,10.1128/mbio.00441-18,Hospitalized Premature Infants Are Colonized by Related Bacterial Strains with Distinct Proteomic Profiles.
PRJNA376566,29636439,29636439.0,PMC5893878,10.1128/mbio.00441-18,Hospitalized Premature Infants Are Colonized by Related Bacterial Strains with Distinct Proteomic Profiles.
PRJNA385126,29761040,29761040.0,PMC5944432,10.7717/peerj.4694,Viromes of one year old infants reveal the impact of birth mode on microbiome diversity.
PRJNA376566,29925423,29925423.0,PMC6011520,10.1186/s40168-018-0493-5,The developing premature infant gut microbiome is a major factor shaping the microbiome of neonatal intensive care unit rooms.
PRJNA296814,29973274,29973274.0,PMC6033232,10.1186/s40168-018-0490-8,Maternal diet during pregnancy is related with the infant stool microbiome in a delivery mode-dependent manner.
PRJNA352475,30001516,30001516.0,PMC6716579,10.1016/j.chom.2018.06.005,Mother-to-Infant Microbial Transmission from Different Body Sites Shapes the Developing Infant Gut Microbiome.
PRJNA422569,30126456,30126456.0,PMC6102903,10.1186/s40168-018-0527-z,Tracing mother-infant transmission of bacteriophages by means of a novel analytical tool for shotgun metagenomic datasets: METAnnotatorX.
