gold_set,field,route,confidence_tier,n_covered,n_correct,precision,gold_n,coverage,recall
hires,age_at_collection_days,R1,0.75,763,763,1.0,,,
hires,age_at_collection_days,R1,0.8,7,7,1.0,,,
hires,age_at_collection_days,R1,0.85,70,49,0.7,,,
hires,age_at_collection_days,R1,0.9,194,194,1.0,,,
hires,age_at_collection_days,R2,0.75,683,669,0.98,,,
hires,age_at_collection_days,R2,0.85,1519,1519,1.0,,,
hires,age_at_collection_days,ALL,,3236,3201,0.989,3378.0,0.958,0.948
all,age_at_collection_days,R1,0.75,763,763,1.0,,,
all,age_at_collection_days,R1,0.8,7,7,1.0,,,
all,age_at_collection_days,R1,0.85,167,101,0.605,,,
all,age_at_collection_days,R1,0.9,194,194,1.0,,,
all,age_at_collection_days,R2,0.75,698,677,0.97,,,
all,age_at_collection_days,R2,0.85,1541,1530,0.993,,,
all,age_at_collection_days,ALL,,3370,3272,0.971,3518.0,0.958,0.93
hires,delivery_mode,R2,0.75,1315,1303,0.991,,,
hires,delivery_mode,R2,0.85,1111,1111,1.0,,,
hires,delivery_mode,ALL,,2426,2414,0.995,2591.0,0.936,0.932
all,delivery_mode,R2,0.75,1316,1304,0.991,,,
all,delivery_mode,R2,0.85,1129,1129,1.0,,,
all,delivery_mode,ALL,,2445,2433,0.995,2681.0,0.912,0.907
hires,feeding_mode,R2,0.75,152,73,0.48,,,
hires,feeding_mode,R2,0.85,368,345,0.938,,,
hires,feeding_mode,ALL,,520,418,0.804,706.0,0.737,0.592
all,feeding_mode,R2,0.75,157,73,0.465,,,
all,feeding_mode,R2,0.85,368,345,0.938,,,
all,feeding_mode,ALL,,525,418,0.796,725.0,0.724,0.577
hires,preterm_status,R2,0.75,1199,1199,1.0,,,
hires,preterm_status,R2,0.7999999999999999,4,4,1.0,,,
hires,preterm_status,R2,0.85,553,553,1.0,,,
hires,preterm_status,R3,0.8,193,193,1.0,,,
hires,preterm_status,ALL,,1949,1949,1.0,2028.0,0.961,0.961
all,preterm_status,R2,0.75,1200,1200,1.0,,,
all,preterm_status,R2,0.7999999999999999,4,4,1.0,,,
all,preterm_status,R2,0.85,553,553,1.0,,,
all,preterm_status,R3,0.8,193,193,1.0,,,
all,preterm_status,ALL,,1950,1950,1.0,2029.0,0.961,0.961
hires,antibiotic_exposure,R2,0.75,1940,1680,0.866,,,
hires,antibiotic_exposure,R2,0.85,455,396,0.87,,,
hires,antibiotic_exposure,ALL,,2395,2076,0.867,2535.0,0.945,0.819
all,antibiotic_exposure,R1,0.85,12,12,1.0,,,
all,antibiotic_exposure,R2,0.75,1941,1681,0.866,,,
all,antibiotic_exposure,R2,0.85,461,402,0.872,,,
all,antibiotic_exposure,ALL,,2414,2095,0.868,2644.0,0.913,0.792
hires,gestational_age_weeks,R2,0.7,19,19,1.0,,,
hires,gestational_age_weeks,R2,0.75,532,532,1.0,,,
hires,gestational_age_weeks,ALL,,551,551,1.0,2028.0,0.272,0.272
all,gestational_age_weeks,R2,0.7,19,19,1.0,,,
all,gestational_age_weeks,R2,0.75,532,532,1.0,,,
all,gestational_age_weeks,ALL,,551,551,1.0,2029.0,0.272,0.272
